date,protocol,chain,usd_value,name,category,parent_protocol,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,daily_avg_tvl_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_3d,daily_avg_tvl_3d,flow_direction_3d,abs_cumul_net_dollar_flow_3d,cumul_net_dollar_flow_7d,daily_avg_tvl_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_14d,daily_avg_tvl_14d,flow_direction_14d,abs_cumul_net_dollar_flow_14d,cumul_net_dollar_flow_30d,daily_avg_tvl_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,daily_avg_tvl_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,daily_avg_tvl_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,daily_avg_tvl_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
2024-07-08,quickswap-v3,Polygon zkEVM,3350314.05308,Quickswap V3,Dexes,parent#quickswap,-27814.194657801032,-27814.194657801032,1,1,-7008136.394638174,-1,7008136.394638174,-27814.194657801032,3350314.05308,-1,27814.194657801032,-97890.14928595567,3402302.2018199996,-1,97890.14928595567,626231.553200081,3511361.543947143,1,626231.553200081,1582277.4194904477,2882027.8597421427,1,1582277.4194904477,1312496.4078968805,2478700.513202667,1,1312496.4078968805,906175.1002728415,2570567.3634722224,1,906175.1002728415,-1137600.8775261808,3252289.227931667,-1,1137600.8775261808,-6929079.173877833,5263273.974178466,-1,6929079.173877833,-0.8301966387966219
2024-07-08,qidao,xDai,19679.0104,QiDao,CDP,QiDao,-1.157971236271525,-1.157971236271525,1,1,-90666.15443845994,-1,90666.15443845994,-1.157971236271525,19679.0104,-1,1.157971236271525,-1357.0532141985818,20337.082926666666,-1,1357.0532141985818,-1357.0532141985823,22231.5814,-1,1357.0532141985823,-1357.0532141985827,23244.865112142852,-1,1357.0532141985827,-1357.0532141985827,24720.465925666667,-1,1357.0532141985827,-2387.3149217869654,25580.92574444445,-1,2387.3149217869654,-16642.805266548126,29121.882094833334,-1,16642.805266548126,-82573.27161758616,39661.130629863015,-1,82573.27161758616,-0.005884296073503398
2024-07-08,quickswap-v3,Immutable zkEVM,14059305.106519999,Quickswap V3,Dexes,parent#quickswap,24027.564215561688,24027.564215561688,1,1,13585369.844734518,1,13585369.844734518,24027.564215561688,14059305.106519999,1,24027.564215561688,4668698.47728913,14129881.280890001,1,4668698.47728913,4434673.920446539,11802105.1975,1,4434673.920446539,9588996.512583062,9766926.283468572,1,9588996.512583062,10353007.44105693,6954872.022532667,1,10353007.44105693,12572878.358745964,4508579.622159778,1,12572878.358745964,13585369.844734518,4100428.213913796,1,13585369.844734518,13585369.844734518,4100428.213913796,1,13585369.844734518,0.170901506393932
2024-07-08,qidao,Polygon,13396905.69383,QiDao,CDP,QiDao,-7006.56751989475,-7006.56751989475,1,1,-20149886.613875713,-1,20149886.613875713,-7006.56751989475,13396905.69383,-1,7006.56751989475,-33880.81336862578,13546953.394476665,-1,33880.81336862578,-132383.02015510693,14300716.980317142,-1,132383.02015510693,-242837.822249509,14046504.206210714,-1,242837.822249509,-546523.2979070722,15166814.592658667,-1,546523.2979070722,-3382237.5342293605,16465054.349465333,-1,3382237.5342293605,-7811823.877210549,18445040.70760278,-1,7811823.877210549,-19991722.635290127,18278283.378409535,-1,19991722.635290127,-0.05229989431904155
2024-07-08,qidao,Ethereum,1029960.62803,QiDao,CDP,QiDao,0.0,0.0,1,1,-11411980.541564299,-1,11411980.541564299,0.0,1029960.62803,1,0.0,-50689.5340212865,1060719.7804366667,-1,50689.5340212865,-54904.68143128661,1150032.908947143,-1,54904.68143128661,-56484.68143147489,1201092.1451914287,-1,56484.68143147489,-92491.24822631206,1260358.5535600001,-1,92491.24822631206,-2307054.154115777,1577474.3661134446,-1,2307054.154115777,-4098474.190998256,3265196.0849209446,-1,4098474.190998256,-11174357.725100663,4275613.097722767,-1,11174357.725100663,0.0
2024-07-08,qidao,Moonbeam,4375.03889,QiDao,CDP,QiDao,0.0,0.0,1,1,-3747.4326936356906,-1,3747.4326936356906,0.0,4375.03889,1,0.0,-157.7083076478865,4340.285123333333,-1,157.7083076478865,-157.7083076478864,4723.338237142857,-1,157.7083076478864,-436.39030474133835,4878.033576428571,-1,436.39030474133835,-436.38112454030613,5516.822564333333,-1,436.38112454030613,-582.6752713517101,6994.898569888889,-1,582.6752713517101,-1378.353241863104,9752.457710666667,-1,1378.353241863104,-4033.0852179567214,9442.229808547945,-1,4033.0852179567214,0.0
2024-07-08,qidao,Metis,228789.01224,QiDao,CDP,QiDao,191.05000014968977,191.05000014968977,1,1,-2070236.9130624814,-1,2070236.9130624814,191.05000014968977,228789.01224,1,191.05000014968977,81654.77006397741,226363.36953666667,1,81654.77006397741,82202.53340210096,196505.52527857147,1,82202.53340210096,83539.88340314868,189890.94612285713,1,83539.88340314868,85565.01340473545,201801.76215133336,1,85565.01340473545,25240.34666116763,268070.8482033333,1,25240.34666116763,-188321.16169431014,507484.0922837777,-1,188321.16169431014,-2086502.1940198254,585400.8161546302,-1,2086502.1940198254,0.08350488438198161
2024-07-08,qidao,Linea,249529.60682000002,QiDao,CDP,QiDao,0.0,0.0,1,1,205164.10742483058,1,205164.10742483058,0.0,249529.60682000002,1,0.0,-76317.42220426144,250415.37751000002,-1,76317.42220426144,-74006.78051980438,300176.5963342857,-1,74006.78051980438,-72898.38196729349,318905.7678828571,-1,72898.38196729349,-85221.58445006405,336050.80235733336,-1,85221.58445006405,-43181.6217669989,365679.9097646667,-1,43181.6217669989,205164.10742483058,318563.94648036495,1,205164.10742483058,205164.10742483058,318563.94648036495,1,205164.10742483058,0.0
2024-07-08,qidao,Fantom,146562.72987,QiDao,CDP,QiDao,0.0,0.0,1,1,-5215954.22994421,-1,5215954.22994421,0.0,146562.72987,1,0.0,0.0,134315.8446266667,1,0.0,-28434.741959999476,155386.4150657143,-1,28434.741959999476,-29760.80348361971,180083.6303835714,-1,29760.80348361971,-31382.280074858198,205458.60711233332,-1,31382.280074858198,-205646.4310394663,272243.8876918889,-1,205646.4310394663,-247301.910654961,372908.75349466666,-1,247301.910654961,-5137285.14666407,533861.8500680547,-1,5137285.14666407,0.0
2024-07-08,qidao,Binance,20255.772100000002,QiDao,CDP,QiDao,0.0,0.0,1,1,-587238.4772876146,-1,587238.4772876146,0.0,20255.772100000002,1,0.0,593.2919580143312,21534.353180000006,1,593.2919580143312,593.2919580143312,21931.797385714282,1,593.2919580143312,98.88199300240422,22464.145557142856,1,98.88199300240422,-15433.11582804006,24085.297143,-1,15433.11582804006,-6957.564456231949,31726.871959333334,-1,6957.564456231949,-61567.42300332411,43207.435928777784,-1,61567.42300332411,-587238.4772876146,97596.76319073973,-1,587238.4772876146,0.0
2024-07-08,qidao,Base,4964708.69061,QiDao,CDP,QiDao,0.0,0.0,1,1,4750650.898524053,1,4750650.898524053,0.0,4964708.69061,1,0.0,4475.7676270763,4998959.687296666,1,4475.7676270763,-115324.7660437288,5191880.177714286,-1,115324.7660437288,-126834.96356634406,5368493.873000713,-1,126834.96356634406,-413061.5085569436,5685606.313985333,-1,413061.5085569436,1467881.0713938773,5634237.944639111,1,1467881.0713938773,-533377.859531716,5181958.3124725,-1,533377.859531716,4750650.898524053,4352960.148568815,1,4750650.898524053,0.0
2024-07-08,qidao,Avalanche,151597.36999,QiDao,CDP,QiDao,-0.4413747669314991,-0.4413747669314991,1,1,-531485.6007716714,-1,531485.6007716714,-0.4413747669314991,151597.36999,-1,0.4413747669314991,-0.441374766946051,152740.74690666667,-1,0.441374766946051,-0.4413747669314991,158026.7810414286,-1,0.4413747669314991,-2000.8405715851645,159909.60178642857,-1,2000.8405715851645,-8185.626457360535,173378.428105,-1,8185.626457360535,-25255.001955534506,195082.720703,-1,25255.001955534506,-94387.41074241529,220635.0653328889,-1,94387.41074241529,-531485.6007716714,247657.20912652052,-1,531485.6007716714,-0.00029114935632499033
2024-07-08,qidao,Arbitrum,145311.51473,QiDao,CDP,QiDao,0.0,0.0,1,1,-5438218.403767167,-1,5438218.403767167,0.0,145311.51473,1,0.0,-381.2980892749847,145876.18722,-1,381.2980892749847,-20645.652168000626,161357.02193714285,-1,20645.652168000626,-22623.814284257962,167237.17568714285,-1,22623.814284257962,-29236.498010428422,173372.09574833335,-1,29236.498010428422,-106327.96517509829,201465.15917199999,-1,106327.96517509829,-361001.4976753649,261039.98778716664,-1,361001.4976753649,-5424622.24544726,762040.4354199725,-1,5424622.24544726,0.0
2024-07-08,pulsex-v2,Pulse,22154861.66457,PulseX V2,Dexes,parent#pulsex,-528788.9305701946,-528788.9305701946,1,1,14893884.918885147,1,14893884.918885147,-528788.9305701946,22154861.66457,-1,528788.9305701946,1048093.3835240221,22745705.904909987,1,1048093.3835240221,-1271360.731476571,23859801.339494288,-1,1271360.731476571,-3966664.6939804326,24731493.775956426,-1,3966664.6939804326,-8078524.929775132,27954249.97905433,-1,8078524.929775132,5062993.398225825,33846915.14066311,1,5062993.398225825,6802385.262870874,45301484.895914726,1,6802385.262870874,14720783.699710747,31750007.177805312,1,14720783.699710747,-2.386785070365989
2024-07-08,pulsex-v1,Pulse,189082114.27412,PulseX V1,Dexes,parent#pulsex,72741.34504793686,72741.34504793686,1,1,78539949.82878576,1,78539949.82878576,72741.34504793686,189082114.27412,1,72741.34504793686,723696.3231402868,193343623.60661995,1,723696.3231402868,3153716.2326666056,201484862.82095,1,3153716.2326666056,4689401.735077931,205101511.53616,1,4689401.735077931,7705821.146025614,208855454.741119,1,7705821.146025614,36898521.95833937,238264303.24445763,1,36898521.95833937,138492287.0681877,245611039.15463862,1,138492287.0681877,78175263.69088925,185274982.27754048,1,78175263.69088925,0.03847076987011092
2024-07-08,qidao,Optimism,366755.29671,QiDao,CDP,QiDao,-94.86201571529391,-94.86201571529391,1,1,-18096223.91221898,-1,18096223.91221898,-94.86201571529391,366755.29671,-1,94.86201571529391,-6992.080687227178,373112.13548999984,-1,6992.080687227178,-15959.254866389234,405577.60977000004,-1,15959.254866389234,-16556.07454916543,423985.2371335714,-1,16556.07454916543,-17169.36991815888,450553.75047966663,-1,17169.36991815888,-230858.67525150973,566646.4751581112,-1,230858.67525150973,-1790408.9412031244,967345.7323722222,-1,1790408.9412031244,-18028346.84577518,2990521.63403,-1,18028346.84577518,-0.025865206737642022
2024-07-08,radiant-v2,Arbitrum,52571680.5896,Radiant V2,Lending,parent#radiant,794348.0892796481,794348.0892796481,1,1,-211253512.63448894,-1,211253512.63448894,794348.0892796481,52571680.5896,1,794348.0892796481,-4383990.46369759,52343062.03868333,-1,4383990.46369759,-4031866.494795692,57502176.309209995,-1,4031866.494795692,3678909.011081448,57854053.508740716,1,3678909.011081448,-2523813.0912527004,59299163.73958366,-1,2523813.0912527004,-37005306.9343413,72706006.52581432,-1,37005306.9343413,-68196523.1945204,100663239.06319699,-1,68196523.1945204,-210537813.23337126,138005503.49060628,-1,210537813.23337126,1.510980969926973
2024-07-08,renzo,Blast,64074816.85834,Renzo,Liquid Restaking,Renzo,-1443636.2287674542,-1443636.2287674542,1,1,61482207.43057098,1,61482207.43057098,-1443636.2287674542,64074816.85834,-1,1443636.2287674542,-7203018.761256795,67543968.33588333,-1,7203018.761256795,-30212253.82671022,78744383.87087715,-1,30212253.82671022,-126499658.58847383,112363812.38515855,-1,126499658.58847383,-187540828.16458562,205072382.55285767,-1,187540828.16458562,-78358496.33035688,234605891.77391455,-1,78358496.33035688,61482207.43057098,199945305.7462558,1,61482207.43057098,61482207.43057098,199945305.7462558,1,61482207.43057098,-2.2530477643956774
2024-07-08,radiant-v2,Ethereum,8584729.88783,Radiant V2,Lending,parent#radiant,-102993.24031899749,-102993.24031899749,1,1,7657992.96027675,1,7657992.96027675,-102993.24031899749,8584729.88783,-1,102993.24031899749,-600448.214619464,8759832.582193332,-1,600448.214619464,-755829.5233242086,9499991.224387143,-1,755829.5233242086,-545793.610055832,9809739.54515143,-1,545793.610055832,-1958492.0717893397,10765921.663109666,-1,1958492.0717893397,-7007644.654973063,12139965.078870445,-1,7007644.654973063,-48780745.93607888,22002460.24568639,-1,48780745.93607888,7657992.96027675,34344217.14301845,1,7657992.96027675,-1.1997260445550435
2024-07-08,puffer-finance,Ethereum,1471897350.30299,Puffer Finance,Liquid Restaking,Puffer Finance,376994.2461239871,376994.2461239871,1,1,1354022231.5296583,1,1354022231.5296583,376994.2461239871,1471897350.30299,1,376994.2461239871,1724305.338131232,1491614381.2765732,1,1724305.338131232,11205600.897713382,1582140893.9273143,1,11205600.897713382,20042345.79606559,1626366453.4215548,1,20042345.79606559,53601659.56443947,1676709993.1773655,1,53601659.56443947,352810541.40240455,1541760694.894888,1,352810541.40240455,1354022231.5296583,1363097219.166129,1,1354022231.5296583,1354022231.5296583,1363097219.166129,1,1354022231.5296583,0.02561280826046618
2024-07-08,renzo,Binance,6292562.67756,Renzo,Liquid Restaking,Renzo,-1926.2649977429824,-1926.2649977429824,1,1,6011389.15244584,1,6011389.15244584,-1926.2649977429824,6292562.67756,-1,1926.2649977429824,-298417.44578658976,6455608.376286667,-1,298417.44578658976,-1490734.0453351683,7551636.961674286,-1,1490734.0453351683,-1562057.8371350428,8203618.507990715,-1,1562057.8371350428,-2381956.935864552,9109542.839476334,-1,2381956.935864552,3106489.460173409,7486501.71967789,1,3106489.460173409,6011389.15244584,6294143.4884736845,1,6011389.15244584,6011389.15244584,6294143.4884736845,1,6011389.15244584,-0.03061177292063
2024-07-08,renzo,Base,2817515.67877,Renzo,Liquid Restaking,Renzo,100298.96035936313,100298.96035936313,1,1,2347626.958787468,1,2347626.958787468,100298.96035936313,2817515.67877,1,100298.96035936313,79701.21316229443,2805748.0133066666,1,79701.21316229443,-400526.61868487496,3075510.5956985713,-1,400526.61868487496,-1707723.3434795716,3526105.533462143,-1,1707723.3434795716,-1053434.3088824477,4507444.088230333,-1,1053434.3088824477,986131.7132521976,4552269.461515112,1,986131.7132521976,2347626.958787468,4455498.220900753,1,2347626.958787468,2347626.958787468,4455498.220900753,1,2347626.958787468,3.559836813513283
2024-07-08,renzo,Arbitrum,156304649.74519,Renzo,Liquid Restaking,Renzo,455373.4990324003,455373.4990324003,1,1,136322799.8628129,1,136322799.8628129,455373.4990324003,156304649.74519,1,455373.4990324003,-10746417.073318077,160614277.64203998,-1,10746417.073318077,-34654313.931338176,181968492.20533857,-1,34654313.931338176,-152676648.14540958,232675172.29310784,-1,152676648.14540958,-170546815.07263887,311779730.5994831,-1,170546815.07263887,-52168422.96388061,325480662.9476837,-1,52168422.96388061,136322799.8628129,284307934.36665386,1,136322799.8628129,136322799.8628129,284307934.36665386,1,136322799.8628129,0.2913371417771362
2024-07-08,renvm,Solana,1485822.12158,RenVM,Bridge,RenVM,0.0,0.0,1,1,-18951.19235626863,-1,18951.19235626863,0.0,1485822.12158,1,0.0,0.0,1023898.1512600001,1,0.0,0.0,1137333.3822842857,1,0.0,-2.7845248691100338e-08,1055245.7627,-1,2.7845248691100338e-08,-1.5115120785207495e-06,1308475.879413,-1,1.5115120785207495e-06,-5.418346097228263e-06,1588352.4028125554,-1,5.418346097228263e-06,-18945.41672882007,1465371.8908242777,-1,18945.41672882007,-18951.19235626863,1250365.4703745204,-1,18951.19235626863,0.0
2024-07-08,renvm,Polygon,344351.41972,RenVM,Bridge,RenVM,0.0,0.0,1,1,-1126.3693699999712,-1,1126.3693699999712,0.0,344351.41972,1,0.0,0.0,237592.94318000003,1,0.0,0.0,263858.0772042857,1,0.0,0.0,244932.7511507143,1,0.0,0.0,303513.3565836667,1,0.0,0.0,368564.7027378889,1,0.0,-1126.3693699999712,339015.1588577222,-1,1126.3693699999712,-1126.3693699999712,273433.1728058356,-1,1126.3693699999712,0.0
2024-07-08,renvm,Optimism,2265.78246,RenVM,Bridge,RenVM,0.0,0.0,1,1,0.0,1,0.0,0.0,2265.78246,1,0.0,0.0,2272.7334666666666,1,0.0,0.0,2037.9447357142856,1,0.0,0.0,1761.4910350000002,1,0.0,0.0,2065.1855513333335,1,0.0,0.0,2445.54599,1,0.0,0.0,2236.449968388889,1,0.0,0.0,1760.5895159726028,1,0.0,0.0
2024-07-08,renvm,Fantom,420144.29202000005,RenVM,Bridge,RenVM,0.0,0.0,1,1,-235.35874974605395,-1,235.35874974605395,0.0,420144.29202000005,1,0.0,0.0,289512.0412366667,1,0.0,0.0,321588.1831385714,1,0.0,0.0,298371.2766057143,1,0.0,0.0,369979.95366500004,1,0.0,0.0,449118.71337522217,1,0.0,-8.058770000003278,412429.52193955553,-1,8.058770000003278,-235.35874974605395,325904.8775791781,-1,235.35874974605395,0.0
2024-07-08,renvm,Ethereum,20813501.75929,RenVM,Bridge,RenVM,0.0,0.0,1,1,-2149118.728629999,-1,2149118.728629999,0.0,20813501.75929,1,0.0,-4030.8179999999998,15493664.528793335,-1,4030.8179999999998,-24184.908,17135288.27624857,-1,24184.908,-24184.90799999997,16386530.073086428,-1,24184.90799999997,-40308.179999999855,19542017.157421,-1,40308.179999999855,-358742.8020000008,23968517.328537777,-1,358742.8020000008,-915688.4206300001,23569708.40472428,-1,915688.4206300001,-2149118.728629999,20408381.532165285,-1,2149118.728629999,0.0
2024-07-08,renvm,Binance,668514.33549,RenVM,Bridge,RenVM,0.0,0.0,1,1,-253.2589900000021,-1,253.2589900000021,0.0,668514.33549,1,0.0,0.0,460701.4669933333,1,0.0,0.0,511736.0579514285,1,0.0,0.0,474808.84964285715,1,0.0,0.0,588733.7516409999,1,0.0,0.0,714682.6069057777,1,0.0,-253.2589900000021,656406.4910339445,-1,253.2589900000021,-253.2589900000021,519871.18614246574,-1,253.2589900000021,0.0
2024-07-08,renvm,Avalanche,591737.2726200001,RenVM,Bridge,RenVM,0.0,0.0,1,1,-73.18258000002243,-1,73.18258000002243,0.0,591737.2726200001,1,0.0,0.0,407749.6670666667,1,0.0,0.0,452926.43142,1,0.0,0.0,420226.31282642856,1,0.0,0.0,521082.17916666664,1,0.0,0.0,632540.3168562222,1,0.0,-73.18258000002243,580887.3989657778,-1,73.18258000002243,-73.18258000002243,459317.85790654796,-1,73.18258000002243,0.0
2024-07-08,radiant-v2,Binance,22310054.15661,Radiant V2,Lending,parent#radiant,-37776.22910255212,-37776.22910255212,1,1,-111560011.44688879,-1,111560011.44688879,-37776.22910255212,22310054.15661,-1,37776.22910255212,-884638.7594277972,22608892.16369,-1,884638.7594277972,-1199879.581395722,24290813.467412855,-1,1199879.581395722,-2488442.0731791733,25363935.557865713,-1,2488442.0731791733,-8140199.605126504,29544498.125307333,-1,8140199.605126504,-46401612.710644186,55861942.65554567,-1,46401612.710644186,-93413504.42990875,73272861.84906755,-1,93413504.42990875,-110488983.80639863,76736490.80815388,-1,110488983.80639863,-0.16932378934346878
2024-07-08,renvm,Arbitrum,262310.1015,RenVM,Bridge,RenVM,0.0,0.0,1,1,-46344.021142499405,-1,46344.021142499405,0.0,262310.1015,1,0.0,0.0,263114.82033,1,0.0,0.0,235933.2808642857,1,0.0,0.0,203928.17921,1,0.0,0.0,239086.955703,1,0.0,0.0,283121.3618318889,1,0.0,0.0,258914.2724855,1,0.0,-46344.021142499405,205905.81760736986,-1,46344.021142499405,0.0
2024-07-08,ref-finance,Near,50130362.19347,Ref Finance,Dexes,Ref Finance,-68873.67231458187,-68873.67231458187,1,1,23231665.982725237,1,23231665.982725237,-68873.67231458187,50130362.19347,-1,68873.67231458187,53865.72330118467,51052250.752239995,1,53865.72330118467,-1066972.9915775417,53622018.653217144,-1,1066972.9915775417,-1197254.0495679735,55232589.17694857,-1,1197254.0495679735,-2123944.921915801,57968491.270779,-1,2123944.921915801,-2718449.309806142,66836860.44600534,-1,2718449.309806142,22544503.63742475,52322251.825422555,1,22544503.63742475,23290982.35475861,33030372.100406248,1,23290982.35475861,-0.13738913764232363
