address,gov_delegation,active_gov_delegation,drop2_mod,op_amount_decimal_adjusted,op_amount_raw
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,2837.126385,0.0,123.0766181,2960.203003,2960203003005330000000
0x00359cb21eb522d0f70de20bc2cbfe8355ad3ec4,329.1524652,0.0,7.10237416,336.2548394,336254839388599000000
0x00368ae928cf0d8a1103a0ba69be0c56c6b70e15,17.20035345,34.4007069,0.0,51.60106036,51601060357138100000
0x0037dd60f7a4393587b6dce2c6dddd4508d38e32,19.22131729,38.44263458,0.0,57.66395186,57663951863225500000
0x003d071581978d3aea28faf82947db95fbba285b,111.1065416,222.2130832,0.0,333.3196248,333319624834413000000
0x003d3e4cb50479af917e883602d163503bf863f4,194.4472226,0.0,4.709487728,199.1567103,199156710307986000000
0x00409fc839a2ec2e6d12305423d37cd011279c09,3812.988948,7625.977896,43.33607316,11482.30292,11482302916906700000000
0x0041b0239420debf7885433d09ae4f274d3d8ac3,625.5226634,1251.045327,0.0,1876.56799,1876567990095740000000
0x0043859de73f1bec4b123eb9311436c299b38bf5,192.5811867,271.4225381,3.95794654,467.9616713,467961671296695000000
0x0043b8708867866434a9d4032e85e2eead3e1bba,16.88701582,33.77403165,0.0,50.66104747,50661047468657900000
0x00444797ba158a7bdb8302e72da98dcbccef0fbc,276.8878051,553.7756103,6.046067416,836.7094828,836709482845056000000
0x004537fcd9095489ebe38180a382341b962b501d,444.802119,889.604238,22.12750011,1356.533857,1356533857105820000000
0x0045f99939c93de0db55de2f274459c5f2b3e711,93.62143051,187.242861,2.302820494,283.167112,283167112032485000000
0x0045fa93dedb0af02956f7d7c306b34263688872,107.9703421,215.9406842,0.0007209501501,323.9117472,323911747184343000000
0x00475646c553b1f4ff181e12c07ddfb92c0eafff,331.4644125,662.928825,6.894565877,1001.287803,1001287803378630000000
0x00478efdf2b63f02d2cae9936fe42d718a90d44a,145.6334463,291.2668926,3.997390745,440.8977296,440897729646618000000
