address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x000a837ddd815bcba0fa91a98a50aa7a3fa62c9c,True,False,True,True,True,True,False,1.5,81082924638884819046
0x000ddc08b2baff5802d2c6f1dc7d49ae90ccf21a,False,True,False,True,True,True,False,1.25,42592764172620618979
0x000f616888feeb25781ad08e0e232e36173a9c70,True,False,False,False,False,False,False,1.0,54535683632450968616
0x000fee2a905e9ef08cd1440e48cd67f08280afba,False,True,False,False,False,True,False,1.05,400111447372651866772
0x0013d410ed92be03fcf3de809386f3a2ffb895c2,True,False,False,True,True,True,False,1.25,52843006155076523100
0x0014b6f296109b650a9e96af1720fbf328cd1d6f,False,True,False,True,False,False,False,1.05,23069469862014976513
0x00173c4cb23e6d876fcb036ba954a2f9cfcafa19,False,True,True,True,False,False,False,1.1,303162180648183493759
0x0019385db21bb73305efce7e3f9461b3efb75ac0,True,False,False,False,False,False,False,1.0,35739045895326263746
0x001acb8b5faa05aa1edc71b916f89bd8bc808829,True,False,False,False,True,True,False,1.1,42416132659999810528
0x0020001e43009b009ed2008100bb0cee00243400,True,False,True,True,False,True,False,1.25,676552894996095687929
0x002023871bedf76ffb5d5ec952d8572930e5acc4,False,True,False,True,True,True,False,1.25,54984082447595000076
0x0022fb9d6db0d3da53372b28bca3ed333f128a93,True,False,False,False,False,False,False,1.0,251920599070971320543
0x0023d9ffe7d793895c5da5833d56c737832ead2b,False,True,True,False,True,False,False,1.1,451526018295296523775
0x00251dd5d0de3cb1614e59e8a6864396bcaaa795,False,True,False,False,False,True,False,1.05,28121515270345877724
0x0025e4fae620ff18e4aeec6220e7272e50d365f6,False,True,False,False,True,True,False,1.1,1212842823046806870479
0x0029d62815991d2e725aeeedfce18b7a234d0c1d,True,False,False,False,True,True,False,1.1,78177866262307915690
0x002a3be63b3b312da5d58eb02d2b48869b46ec82,True,False,True,True,True,True,False,1.5,237454722756550040685
0x002ed86654dfdcc6b398ac97135d86cedc1c424b,True,False,False,False,False,False,False,1.0,60356277038521554346
0x002edf6f4cacea1ccb34a9179e5773bee3131d05,True,False,True,True,False,True,False,1.25,28956873558153169768
0x0030f6ee90660967788d9442871cc549ddf6484a,True,False,True,True,False,True,False,1.25,26262561941441987301
0x003a324f92f3da19f1816c7449bab8d02ffffde9,True,False,False,True,True,True,False,1.25,6000000000000000000000
0x003adee9f572ba3b9091f2ed0400040bcb3a7244,False,True,False,True,True,False,False,1.1,23165942717117204097
0x00409fc839a2ec2e6d12305423d37cd011279c09,False,True,False,True,True,True,False,1.25,253429122130233793087
0x00430ed74173cb5e61cb3d7e25b35a9790d8c4d4,True,False,True,True,True,True,False,1.5,48223147235297957991
