address,op_total
0xc08b122fb1057149f55d49d3d5cea0d083b37ffb,105136301241483040653312
0x8db903c0753dde0e7dfffa8310357a741b3ebeef,93030000203370076307456
0x4cd6b970f42b41ee58c2e4b7ab99863d5ae52a23,82512373317909142831104
0x00000091cb2d7914c9cd196161da0943ab7b92e1,57975380129715039764480
0x65e1640c7400a0662041d943ea9566f3b26f8241,46248851521599669534720
0xa71c491cd9c3d6b88351ee090e8f83b7f99fee54,42535146601304691834880
0x9ffdb0ff4f7569b344f60c9ac91a2ddaf83b987d,35552182614752260784128
0x5b11f988f1b78d991a328fc60dce76f726ddf5e9,31175303952408059576320
0xff5dbfb3060a711438cfc13acffac88993fc18a0,29829038571075206643712
0x2de373887b9742162c9a5885ddb5debea8e4486d,28626478457716473856000
0x6e76eec798e8e73d640c30af5f7662f20c35b88e,27697689539010394849280
0x5a98dbceeca053b7845fc4dd79124f66908ade50,27655417815701034893312
0xe67e43b831a541c5fa40de52ab0afbe311514e64,25433401637180285124608
0x60753e8622a6cfea1df449a9625a9778bb922b72,24071327779654503235584
0x1648447835af74848f28be48495558d860d46dc0,21731783545387944509440
0x93eda5162f83015ffcb2beb6dcb192e43b3e2308,21143304847931218067456
0xc03d7825d2b3ec9d73d581802ab49301c4ebb4d5,21033356430133189148672
0xf078969e55cabf9ae3f26afeb5ec627b4430f19e,19926940651479430594560
0x22b9a3617a83d92a6977dafeb1d2e0cf3cc8776f,18713062130198905880576
0x3874b310ad937f556144bb0f6ea06461ac209cca,17803616712904899821568
0xa8b649ac5ce0f6069a6532152c8575af7a0f2180,17284943127564110528512
0x73fa9faf876786b3c954553b837154172bcb0074,15747365988041381380096
0xffd0cb960d0e36a6449b7e2dd2e14db758abeed4,14072249110652352724992
0xc868bfb240ed207449afe71d2ecc781d5e10c85c,13621450723656460140544
0x6d1db9158cc8e6d3cacc2677ebe91b1e7b53d0a6,13464985345218784002048
0xecc0e46f64458ae70dca30e298d20e3c993d9541,13250681938690265055232
0x0c883bacaf927076c702fd580505275be44fb63e,13234603080482098774016
0x198b6f2515ad7d39543916ca24c3a1a8bcc282ba,12913745040771400073216
0x5b5cecda71a53355d0a86dfb80bd38779bc4a645,12198700070739556433920
0x0077d7256fef9687360ff75467890901bd1f3e47,12148791614013276422144
0x9cbf099ff424979439dfba03f00b5961784c06ce,11869943159929417236480
0xc5b9a5172154096601c79f41614f1b8da102d021,11756178469593903267840
0x05d40eab023735d63484f9bf8221a06a2b2fe838,10783093740204837568512
0x3407a3d52251919eb36e3b54a6c0cba4b778e303,10364930471826772983808
0x6d3b90747dbf5883bf88ff7eb5fcc86f408b5409,10339523039123778568192
0x087b91724f02c53c1cc4210befcb9c4659b5f88f,10184443477677846822912
0xe04903ea0da52680520903dadc84f5adbef35e9f,10028781568916920991744
0xf9aeb52bb4ef74e1987dd295e4df326d41d0d0ff,9683509601644385927168
0x6919978d245572cf8b6b2321813d2aabc3ad53ea,9512371456733425434624
