address,total_op
0x00000000000cd56832ce5dfbcbff02e7ec639bc9,47.81889683
0x00000000051cbce3fd04148cce2c0adc7c651829,176.5066415
0x0000000484f2217f1a64eb6d24b5cee446faeae5,90.1750578
0x000000064730640b7d670408d74280924883064f,1124.967312
0x000000070f91b6c56fa08d4f3a26c7fc992b38f4,118.4288741
0x0000000e8cf6f0d9df0f0199215a03296f374f9b,109.827167
0x0000001d2b0a08a235276e8765aa1a659aae58bb,717.1461155
0x000001f568875f378bf6d170b790967fe429c81a,1062.827597
0x000006eee6e39015cb523aebdd4d0b1855aba682,878.8273823
0x00029d35cb7ae09d38037355a046791d7b5e1645,1886.114966
0x00032550944ee9b1a050796fc9074011b2f2c28f,350.6663288
0x00063ddb30be7bc2292583d5f143e9d6e6228440,2068.488185
0x00071508db163ee69814aad31562f44b787c2d4d,775.4190688
0x00092dd025361061c65219eecbc6305fa5f78986,94.38270656
0x000a0b24b1476f647a2a2fa4474f9ed32c685a8e,34.00415925
0x000a837ddd815bcba0fa91a98a50aa7a3fa62c9c,1518.055454
0x000ad8f56d3408abe29466189612d1b7b19e4420,177.8261745
0x000b5e83dd32ba4bab4b3d1744a73b36caaac715,350.6663288
0x000c277d0048c99894a56619d47aec09256c7a72,144.5951345
0x000cd27f10dffac73201258eaa3925c0452051a0,178.476077
0x001076a29493cf2ace3474bfe308688effaf12cb,717.1461155
0x0014ea9bbe130c8af7f00c8e61fc07368bdaaf7d,196.9143199
0x00158a74921620b39e5c3afe4dca79feb2c2c143,82.30423959
0x001709b366bb85f0fb2cc4ef18833392ebba5756,350.6663288
0x0017f7adf1b404298efa3015ca0b56961fea4c34,75.9905657
0x001aa5e315c6b476708a5d2c7594dc2fd2049647,884.2724757
0x001c3b137c68f592952b82786096148390e9030d,338.6500613
0x001e2020389754a1321b95b5879ee121f372f910,48.06548419
0x001eabec5ae0e4dc40aecd9a75a6377fa0b31dcb,728.1333847
0x001fd2ab86b5cf5a3892f60048c5cc30dfab081c,478.6534218
0x001fe2cdbeeb0743679e958c0861dd8788b28b19,350.6663288
0x00216505799d9e3117b40b94a24dc0fa286a57a4,240.2548829
0x00217dcbba6cbc435d6c0d2cf766e4e4c6aeafab,236.4298302
0x0022e00560d1fd651e71df08d98edc028e3baf1a,296.2574795
0x002344f3c01b32771936403d2e531c1b4018ecc6,364.1387658
0x0023d9ffe7d793895c5da5833d56c737832ead2b,113.0443175
0x002525a77d262dd11ec63c9146a821b11564ce29,222.2979844
0x0025500c6a6bcaebde159db6a307f4d38503a079,106.3949066
0x00284d2e4b7201f070f7d02bf6c899be33b0aa56,481.3676212
0x0028f11c41c4809c73e27bf1c583898938b6fe0f,87.06362736
0x00290ffc9e9d19bda7b25c6e44d8adf55dfbf2dd,397.6692353
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,335.3883992
0x0031a2d5ea5b69bcb8e191f5f0ae7919e9c9f0db,108.4770364
0x003241b8f1f51d97561677be952fef8d90ea485f,34.09966885
0x00326e6c7df4d3695d2429a7c8239c102248cb49,1526.083077
0x00337ebb2f185b760d15b9b20f60a44e47d9dc29,362.1853969
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,2960.203003
0x00359cb21eb522d0f70de20bc2cbfe8355ad3ec4,336.2548394
0x00368ae928cf0d8a1103a0ba69be0c56c6b70e15,51.60106036
0x0037dd60f7a4393587b6dce2c6dddd4508d38e32,57.66395186
0x003d071581978d3aea28faf82947db95fbba285b,333.3196248
0x003d3e4cb50479af917e883602d163503bf863f4,199.1567103
0x00409fc839a2ec2e6d12305423d37cd011279c09,11482.30292
0x0041b0239420debf7885433d09ae4f274d3d8ac3,1876.56799
0x0043859de73f1bec4b123eb9311436c299b38bf5,467.9616713
0x0043b8708867866434a9d4032e85e2eead3e1bba,50.66104747
0x00444797ba158a7bdb8302e72da98dcbccef0fbc,836.7094828
0x004537fcd9095489ebe38180a382341b962b501d,1356.533857
0x0045f99939c93de0db55de2f274459c5f2b3e711,283.167112
0x0045fa93dedb0af02956f7d7c306b34263688872,323.9117472
0x00475646c553b1f4ff181e12c07ddfb92c0eafff,1001.287803
