,join_id,dt,chain,active_secs_per_day,num_l1_txs_inbox,num_l1_txs_output,calldata_bytes_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_l1_gas_price_on_l2,l1_gas_used_inbox,l1_gas_used_output,l1_gas_used_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_eth_fees_combined,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_num_txs_per_day,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,l1_gas_used_on_l2,calldata_bytes_l2_per_day,l1_gas_used_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,l2_gas_used,l2_eth_fees_per_day,gas_compression_ratio,bytes_compression_ratio,dt_rank
10,2023-09-10zora network,2023-09-10 00:00:00+00:00,Zora Network,86400.0,184,24,14309930.0,9.74040908820255,9.415879099709423,6314904007.929162,232161464.0,2084352.0,234245816.0,2.261347633876009,0.0196260064332375,2.280973640309247,2.263936324568867,3.1534777550911968,92993.0,43199.0,13.0,344125104.0,32649091.0,344125104.0,21407411.0,17057836009.0,5.417414079659385,0.6746426264792353,0.438294897704809,3
11,2023-09-10public goods network,2023-09-10 00:00:00+00:00,Public Goods Network,86400.0,145,24,1865405.0,9.737465848822168,9.61842608911292,12900882.34260564,32840348.0,2084340.0,34924688.0,0.3197817671134354,0.0200480702345816,0.339829837348017,0.001387969912576,0.0136901351900576,59.0,43200.0,24.0,214208.0,11257144.0,214208.0,15064.0,2186806823.0,0.0150781051026337,153.31055796235435,0.16570854916664476,3
12,2023-09-09base,2023-09-09 00:00:00+00:00,Base,86400.0,1432,24,71513512.0,10.639578059989528,10.729124020365877,10.64325269236834,1170598852.0,2084304.0,1172683156.0,12.454677862788127,0.0223627561121446,12.477040618900272,13.961500940814185,15.81219374213859,511810.0,43200.0,2560.0,1917792584.0,118426942.0,1917792584.0,106047803.0,220611439159.0,29.77369468295277,0.6103886633863426,0.6038618475853239,4
13,2023-09-09op mainnet,2023-09-09 00:00:00+00:00,OP Mainnet,86400.0,520,24,60029032.0,10.512552116858268,10.665218072294625,10.406201760081112,968695372.0,2084592.0,970779964.0,10.183460583509406,0.0222326282717607,10.205693211781169,10.930766955972665,8.425921490558684,320019.0,43200.0,359.0,1535685528.0,128907402.0,1535685528.0,117522350.0,91751846448.0,19.356688446531347,0.630790193915274,0.46567560177808875,4
14,2023-09-09zora network,2023-09-09 00:00:00+00:00,Zora Network,86400.0,157,24,12557841.0,10.595736109708472,10.32478998361746,6501002434.083393,203637276.0,2084328.0,205721604.0,2.1576868385958705,0.0215202488569734,2.179207087452844,2.140168451269548,3.295169505839043,79031.0,43200.0,7.0,298317316.0,30030104.0,298317316.0,18791436.0,14796402611.0,5.435337957107965,0.6826196974767633,0.41817507525115466,4
15,2023-09-09public goods network,2023-09-09 00:00:00+00:00,Public Goods Network,86400.0,145,24,1870709.0,10.490261904332485,10.08814643400417,10707764.19631264,32925668.0,2084316.0,35009984.0,0.3453988806950991,0.0210268850227378,0.3664257657178369,0.0011964653527922,0.0079095448120914,44.0,43212.0,27.0,166288.0,11258260.0,166288.0,11736.0,2185328252.0,0.0091060101648836,198.00387279899934,0.16616324369840454,4
16,2023-09-08base,2023-09-08 00:00:00+00:00,Base,86400.0,1428,24,64497364.0,15.45378184027705,15.1589237603586,15.295237455107916,1058814580.0,2084316.0,1060898896.0,16.362689528624575,0.0315959873364955,16.39428551596107,16.855509157985566,16.567674610176994,354645.0,43200.0,843.0,1611126164.0,119829129.0,1611126164.0,108218332.0,221199721774.0,33.42318376816256,0.6571891163205019,0.5382444530661655,5
17,2023-09-08op mainnet,2023-09-08 00:00:00+00:00,OP Mainnet,86400.0,583,24,67286875.0,14.655316459328224,15.827124575757695,14.40840679888809,1085803816.0,2084628.0,1087888444.0,15.912798536226196,0.0329936670501126,15.945792203276309,16.908409356747608,7.770594928699645,347196.0,43200.0,399.0,1715657884.0,143470456.0,1715657884.0,132053692.0,104601758139.0,24.67900428544725,0.6328789825326271,0.46899464095939025,5
18,2023-09-08zora network,2023-09-08 00:00:00+00:00,Zora Network,86400.0,169,24,11890346.0,14.784159990404104,17.485734996974177,8711361198.604616,193217132.0,2084316.0,195301448.0,2.856552992375029,0.0364457972259532,2.892998789600982,2.8371743945927896,3.948211681748661,77584.0,43200.0,9.0,284926756.0,28357787.0,284926756.0,17118323.0,14589374560.0,6.785386076340807,0.6781291259287703,0.4192973873454935,5
19,2023-09-08public goods network,2023-09-08 00:00:00+00:00,Public Goods Network,86400.0,146,24,1883868.0,15.84738321801203,17.39905782520752,20651949.30479887,33155520.0,2084328.0,35239848.0,0.5254282312324622,0.0362653433986991,0.5616935746311613,0.0031187433381531,0.0125073725771143,62.0,43200.0,19.0,339056.0,11265281.0,339056.0,25237.0,2200822554.0,0.0156261159152675,97.78774007833515,0.16722778597355895,5
