App Name,# OP Allocated,Actions Rewarded,Announced On,Announcement Link,App Link,App Name Map Override,App Type,Created time,Description,End Date,Gov Proposal Link,Incentive / Growth Program Included?,Recipient L2 Address,SQL Import,Source,Start Date,Status,Status - Season
Kwenta,900000,Trades/Swaps,"August 10, 2022",https://twitter.com/kwenta_io/status/1557181082323152901?s=20,https://kwenta.io/,,Perpetuals,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-kwenta-protocol/1122/2,Yes,,",('Project','','Kwenta','Governance - Phase 0')",Governance - Phase 0,"August 16, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
KyberSwap,250000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-kyberswap/4068,Yes,0x5891be896ed4a79ed928c55b17fbbecdb46f8a00,",('Project','0x5891be896ed4a79ed928c55b17fbbecdb46f8a00','KyberSwap','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Layer2DAO,300000,"DEX Liquidity, Other","July 18, 2022",https://twitter.com/TheLayer2DAO/status/1548957748989022209,https://www.layer2dao.org/#/,,DAO,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-layer2dao/1198/8,Yes,,",('Project','','Layer2DAO','Governance - Phase 0')",Governance - Phase 0,"July 20, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Lido,1000000,,"April 7, 2023",,https://lido.fi/,,Liquid Staking,"April 7, 2023 12:50 AM",,,,Yes,0x91cE2F083d59B832f95f90aA0997168ae051a98A,",('Project','0x91cE2F083d59B832f95f90aA0997168ae051a98A','Lido','Partner Fund')",Partner Fund,"April 7, 2023",Live ‎🔥,Live ‎🔥 - Partner Fund
"LiFi ",200000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x2ec590658618c2046565939f534284e7a431476af082bfee00505617145b5580,Yes,,",('Project','','LiFi ','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Lyra,3000000,Liquidity Providing / Deposits,"August 2, 2022",https://twitter.com/lyrafinance/status/1554620449619058688?s=20,https://www.lyra.finance/,,Options,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-lyra-finance/202,Yes,,",('Project','','Lyra','Governance - Phase 0')",Governance - Phase 0,"August 2, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Mean Finance,300000,,,,https://mean.finance/,,Automation,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-mean-finance/2537,Yes,,",('Project','','Mean Finance','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Metalswap,30000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/metalswap-growth-experiments-grant-cycle-11/5613,,0xB0E9021096d7d6458D747CFe959E5E066Fc52dED,",('Project','0xB0E9021096d7d6458D747CFe959E5E066Fc52dED','Metalswap','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Metronomo,22500,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-metronomo/5021,No - Grants Only,0x4b5eD41488d3ADdCb1Fb942D40D2Fa99F90F48d5,",('Project','0x4b5eD41488d3ADdCb1Fb942D40D2Fa99F90F48d5','Metronomo','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
"Mochi ",100000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x2a7436c5bebeaee1a369e484a212a183da549dfce0393d6dc1f84837e8c5c79d,Yes,,",('Project','','Mochi ','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Mux,250000,,,https://twitter.com/muxprotocol/status/1633203404662243328,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-mux-protocol/5037,Yes,0x7C8126ef43c09C22bf0CcdF7426180e6c48068A5,",('Project','0x7C8126ef43c09C22bf0CcdF7426180e6c48068A5','Mux','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Nested,250000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-nested/4965,Yes,0x07963001638c2e8283Ef7F3dABF4242Eaf5d4F79,",('Project','0x07963001638c2e8283Ef7F3dABF4242Eaf5d4F79','Nested','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
OP Uniswap Liquidity Managers - Arrakis,1000000,Liquidity Providing / Deposits,"March 16, 2023",https://twitter.com/ArrakisFinance/status/1636772198936616960?s=20,,Arrakis Finance,,"March 25, 2023 10:52 AM",,,,Yes,,",('Project','','OP Uniswap Liquidity Managers - Arrakis','Partner Fund')",Partner Fund,"March 22, 2023",Live ‎🔥,Live ‎🔥 - Partner Fund
OP Uniswap Liquidity Managers - Gamma,1000000,Liquidity Providing / Deposits,"March 22, 2023",https://twitter.com/GammaStrategies/status/1638607529423806472?s=20,,Gamma,,"March 25, 2023 10:54 AM",,,,Yes,,",('Project','','OP Uniswap Liquidity Managers - Gamma','Partner Fund')",Partner Fund,"March 22, 2023",Live ‎🔥,Live ‎🔥 - Partner Fund
Opti.domains,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-opti-domains-interoperable-domain-name-for-the-op-stack/5510,,0x8b6c27ec466923fad66Ada94c78AA320eA876969,",('Project','0x8b6c27ec466923fad66Ada94c78AA320eA876969','Opti.domains','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
OptiChads,50000,,"October 27, 2022",https://twitter.com/OptiChads/status/1585811109998907393?s=20&t=PCqYYEoCjWepVkHV6MzDew,https://www.optichads.art/,,NFT Collection,"November 2, 2022 12:14 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-optichads-nft-project/3430,Yes,,",('Project','','OptiChads','Governance - Season 2')",Governance - Season 2,"October 27, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Optiland Quests,20000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/optiland-quests/5425,,0x14fF422F5bacc52E20BE81B184F4CE1f0367402B,",('Project','0x14fF422F5bacc52E20BE81B184F4CE1f0367402B','Optiland Quests','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
OPWeave,8633,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-opweave-coverage-of-everything-optimism/4990,Yes,0x66A44DAB44D21E2631e61B21759A30b73E94ae69,",('Project','0x66A44DAB44D21E2631e61B21759A30b73E94ae69','OPWeave','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Otterspace,50000,,,,,,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x36d5040034131d5a52e9c482e149dde4d5b3083dce8b9eb990d07d9d99b927b4,Yes,,",('Project','','Otterspace','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
"Overnight ",400000,DEX Liquidity,"January 20, 2023",,,,Yield Aggregator,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xc8d4c55645e133bb66f480f4f1a17307f73aedd99b0d64f796f4749ce355d7a5,Yes,,",('Project','','Overnight ','Governance - Season 2')",Governance - Season 2,"January 20, 2023",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Overtime Markets,300000,,"November 10, 2022",https://twitter.com/OvertimeMarkets/status/1590746959135899648?s=20,,Thales,,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x7fcc9c9537a7061bae91a25b9dfa4c995a4618e1d7bb9b034b79ab5c214fb3e8,Yes,,",('Project','','Overtime Markets','Governance - Season 2')",Governance - Season 2,"November 10, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Paraswap,450000,,,,https://www.paraswap.io/,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-paraswap/2228,No - Grants Only,,",('Project','','Paraswap','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Parcel,150000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-parcel/5032,Yes,0xF95CeD2c9a8defD9378208aD84019866a3787233,",('Project','0xF95CeD2c9a8defD9378208aD84019866a3787233','Parcel','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Paytrie,50000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-paytrie-stablecoin-on-off-ramp-in-canada/5380,,0x5B5ECfc8122bA166b21d6Ea26268Ef97e09B2E9F,",('Project','0x5B5ECfc8122bA166b21d6Ea26268Ef97e09B2E9F','Paytrie','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Perpetual Protocol,9000000,Liquidity Providing / Deposits,"July 14, 2022",https://twitter.com/perpprotocol/status/1547618066808201219?s=20&t=Q1l9WrIurH0HLOgZPtAr2Q,https://perp.com/,Perpetual Protocol,Perpetuals,"July 21, 2022 11:18 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-perpetual-protocol/201/13,Yes,,",('Project','','Perpetual Protocol','Governance - Phase 0')",Governance - Phase 0,"July 18, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Pickle Finance,200000,Liquidity Providing / Deposits,"September 9, 2022",https://twitter.com/picklefinance/status/1568242054425358337?s=46&t=fXUQP5Ie32WCGmw85D_P7Q,https://www.pickle.finance/,,Yield Aggregator,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-pickle-finance/2723,Yes,,",('Project','','Pickle Finance','Governance - Season 1')",Governance - Season 1,"September 9, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
Pika Protocol,900000,"Liquidity Providing / Deposits, Trades/Swaps","August 29, 2022",https://twitter.com/pikaprotocol/status/1564272697491697664?s=21&t=szF26Vr8JHHncgnV2vaWYQ,https://www.pikaprotocol.com/,,Perpetuals,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-pika-protocol/1103,Yes,,",('Project','','Pika Protocol','Governance - Phase 0')",Governance - Phase 0,"August 29, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Polynomial Protocol,900000,"Liquidity Providing / Deposits, Retroactive Airdrop","September 14, 2022",https://twitter.com/PolynomialFi/status/1570060825322491905,https://www.polynomial.fi/,,Options,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-polynomial-protocol/1625,Yes,,",('Project','','Polynomial Protocol','Governance - Phase 0')",Governance - Phase 0,"September 14, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
PoolTogether #1,450000,Liquidity Providing / Deposits,"July 22, 2022",https://twitter.com/PoolTogether_/status/1552032183967223809,https://pooltogether.com/,PoolTogether,Yield Aggregator,"July 23, 2022 12:40 AM",,"November 15, 2022",,Yes,,",('Project','','PoolTogether #1','Partner Fund')",Partner Fund,"July 26, 2022",Completed,Completed - Partner Fund
PoolTogether #2,550000,,"November 15, 2022",,,PoolTogether,Yield Aggregator,"November 29, 2022 2:10 AM",,"March 28, 2023",https://snapshot.org/#/opcollective.eth/proposal/0x0a184f7fd0042e9e33ee545d0316b4d382f302a75806394e67dee4249b7dbd04,Yes,,",('Project','','PoolTogether #2','Governance - Season 2')",Governance - Season 2,"November 15, 2022",Completed,Completed - Governance - Season 2
Premia,235000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-premia/5034,Yes,0xfc5538E1E9814eD6487b407FaD7b5710739A1cC2,",('Project','0xfc5538E1E9814eD6487b407FaD7b5710739A1cC2','Premia','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
QiDao,750000,,,,https://app.mai.finance/,,CDP,"August 13, 2022 2:38 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-qidao-protocol/2863,Yes,,",('Project','','QiDao','Governance - Season 1')",Governance - Season 1,"August 26, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
Quests on Coinbase Wallet,,,,https://twitter.com/CoinbaseWallet/status/1633881518849540096?s=20,https://www.coinbase.com/wallet/downloads,,Wallet / Tracker,"March 13, 2023 8:36 AM",,,,Yes,,",('Project','','Quests on Coinbase Wallet','Partner Fund')",Partner Fund,"March 9, 2023",Live ‎🔥,Live ‎🔥 - Partner Fund
Rabbit Hole,248500,,,,,Rabbithole,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-rabbithole-quests-on-optimism/5377,,0xbD72a3Cd66B3e40E5151B153164905FD65b55145,",('Project','0xbD72a3Cd66B3e40E5151B153164905FD65b55145','Rabbit Hole','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Rainbow Wallet,420069,Trades/Swaps,"February 13, 2023",https://twitter.com/rainbowdotme/status/1625148574446112769,,Rainbow,"DEX (Decentralized Exchange), Wallet / Tracker","November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x6cc31c08dd7b59a516934fbab9f5fd355d9c92d5a438cc9474df65b9f7edd545,Yes,,",('Project','','Rainbow Wallet','Governance - Season 2')",Governance - Season 2,,Live ‎🔥,Live ‎🔥 - Governance - Season 2
Revert Finance,240000,Liquidity Providing / Deposits,"November 3, 2022",https://twitter.com/revertfinance/status/1588238406282199040?s=20&t=7XUFE9t-NyEOnM1lZDC33Q,https://revert.finance/,,Yield Aggregator,"November 21, 2022 11:30 AM",,"March 6, 2023",https://snapshot.org/#/opcollective.eth/proposal/0x1fda82a16813cb299b031a6a543550f2cd792dd47168671519d9ae5d40351667,Yes,,",('Project','','Revert Finance','Governance - Season 2')",Governance - Season 2,"November 7, 2022",Completed,Completed - Governance - Season 2
Rocket Pool,600000,,,https://twitter.com/Rocket_Pool/status/1590661115494961152?s=20,https://rocketpool.net/,,Liquid Staking,"August 13, 2022 2:37 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-rocket-pool/2822,Yes,,",('Project','','Rocket Pool','Governance - Season 1')",Governance - Season 1,"November 9, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 1
Rotki,40000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-rotki/5025,No - Grants Only,0x49D5356bBdDFA821643842B7DBC2F127B71C3059,",('Project','0x49D5356bBdDFA821643842B7DBC2F127B71C3059','Rotki','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Rotki,190770,,,,https://rotki.com/,,Wallet / Tracker,"August 13, 2022 2:38 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-rotki/2732,No - Grants Only,,",('Project','','Rotki','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Rubicon,200000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/gf-phase-1-proposal-rubicon/5068,Yes,0x3204AC6F848e05557c6c7876E09059882e07962F,",('Project','0x3204AC6F848e05557c6c7876E09059882e07962F','Rubicon','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Rubicon,900000,Liquidity Providing / Deposits,"July 15, 2022",https://twitter.com/rubicondefi/status/1548018477016817670?s=20&t=QAWL4YhEcgQDdCqjVUoabQ,https://rubicon.finance/,,DEX (Decentralized Exchange),"July 21, 2022 11:18 AM",,"February 10, 2023",https://gov.optimism.io/t/gf-phase-0-proposal-rubicon/794/5,Yes,,",('Project','','Rubicon','Governance - Phase 0')",Governance - Phase 0,"July 15, 2022",Completed,Completed - Governance - Phase 0
Safe,500000,,,,,Gnosis Safe,Wallet / Tracker,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x6951c9f971fc7cf939ef9f3b6ce49494a08c53bd617700b5ea46a497c3693c4c,Yes,,",('Project','','Safe','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
ShapeShift,200000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/gf-phase-2-growth-proposal-shapeshift-dao/5568,,0x6268d07327f4fb7380732dc6d63d95F88c0E083b,",('Project','0x6268d07327f4fb7380732dc6d63d95F88c0E083b','ShapeShift','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Slingshot,300000,Trades/Swaps,"August 15, 2022",https://twitter.com/SlingshotCrypto/status/1559223575118217225?s=20,https://slingshot.finance/,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-slingshot/1326,Yes,,",('Project','','Slingshot','Governance - Phase 0')",Governance - Phase 0,"August 15, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Socket,500000,,,,,,Cross-Chain / Bridging,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x066ab540856b7f00a42fbf5b96fbe627735b740bc009b356d69349afd023720f,Yes,,",('Project','','Socket','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Sonne Finance,250000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-2-gf-phase-1-proposal-sonne-finance/4779,Yes,0x784B82a27029C9E114b521abcC39D02B3D1DEAf2,",('Project','0x784B82a27029C9E114b521abcC39D02B3D1DEAf2','Sonne Finance','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Stargate Finance,1000000,Liquidity Providing / Deposits,"August 1, 2022",https://twitter.com/StargateFinance/status/1554168109027561472,https://stargate.finance/,,Cross-Chain / Bridging,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-stargate-finance/721,Yes,,",('Project','','Stargate Finance','Governance - Phase 0')",Governance - Phase 0,"August 5, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Superfluid,150000,,,,https://www.superfluid.finance/home,,"Automation, Operations","July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-superfluid/2314,Yes,,",('Project','','Superfluid','Governance - Season 1')",Governance - Season 1,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 1
Sushiswap,504000,,"March 3, 2023",https://twitter.com/SushiSwap/status/1631672543403810816?s=20,,Sushi,DEX (Decentralized Exchange),"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x638f2adbeded3a0409ea238610753a86c78d4c4cc5569565139c350f58ba944b,Yes,,",('Project','','Sushiswap','Governance - Season 2')",Governance - Season 2,"March 3, 2023",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Synapse,1000000,,,,https://synapseprotocol.com/landing,,Cross-Chain / Bridging,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-synapse-protocol/928,Yes,,",('Project','','Synapse','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
Synpress,50000,,,,,,,"April 26, 2023 12:36 AM",,,https://gov.optimism.io/t/synpress-builders-grant-cycle-11/5578,,0x7b57c388e6149b5c197B925037602d5B6bafFbCc,",('Project','0x7b57c388e6149b5c197B925037602d5B6bafFbCc','Synpress','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Synthetix,9000000,Liquidity Providing / Deposits,"August 25, 2022",https://twitter.com/synthetix_io/status/1562800507084607489?s=20&t=o17Uu1cPFHomJiHuNTpI-A,https://synthetix.io/,,"Perpetuals, Synthetic Assets","July 21, 2022 11:18 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-synthetix/1381,Yes,,",('Project','','Synthetix','Governance - Phase 0')",Governance - Phase 0,"August 25, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Tally Ho,400000,,,,,,Wallet / Tracker,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xf44f4767df0341611940e74316ff1aa5047761f04a97eb9681aa96b8c71da75a,Yes,,",('Project','','Tally Ho','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Tarot,540000,,,,,Tarot Finance,"Lend/Borrow Market, Yield Aggregator","November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0x8d9f64ad44887ec43ecba44ca605912ab541ccff49012691f4a1e0c1b7ec9b05,Yes,,",('Project','','Tarot','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Thales,250000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-thales/4984,Yes,0x489863b61C625a15C74FB4C21486baCb4A3937AB,",('Project','0x489863b61C625a15C74FB4C21486baCb4A3937AB','Thales','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Thales,900000,"DEX Liquidity, Token Staking / Locking, Trades/Swaps","July 15, 2022",https://twitter.com/thalesmarket/status/1547984955027755008?s=20,https://thalesmarket.io/,,Options,"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-thales/1078,Yes,,",('Project','','Thales','Governance - Phase 0')",Governance - Phase 0,"July 15, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
The Optimistic Series,30000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-proposal-the-optimistic-series/4911,Yes,0x6b492bbbe311f3c1e15e3d4ccc00cc2a412089ff,",('Project','0x6b492bbbe311f3c1e15e3d4ccc00cc2a412089ff','The Optimistic Series','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
Threshold,200000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/draft-gf-phase-1-growth-experiments-grant-btc-holders-bridge-to-ethereum-in-a-trust-minimized-way/5638,,0x7fB50BBabeDEE52b8760Ba15c0c199aF33Fc2EfA,",('Project','0x7fB50BBabeDEE52b8760Ba15c0c199aF33Fc2EfA','Threshold','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Uniswap,1000000,Liquidity Providing / Deposits,"October 24, 2022",https://twitter.com/uniswapfnd/status/1584681671882047488,https://uniswap.org/,Uniswap,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-uniswap/2133/5,Yes,,",('Project','','Uniswap','Governance - Phase 0')",Governance - Phase 0,"October 26, 2022",Live ‎🔥,Live ‎🔥 - Governance - Phase 0
Velodrome,3000000,Token Staking / Locking,"July 13, 2022",https://twitter.com/VelodromeFi/status/1547307870974271488,https://app.velodrome.finance/,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,"November 17, 2022",,Yes,,",('Project','','Velodrome','Partner Fund')",Partner Fund,"July 13, 2022",Completed,Completed - Partner Fund
Velodrome #2,4000000,Token Staking / Locking,"November 17, 2022",https://twitter.com/VelodromeFi/status/1593307646337089540,https://app.velodrome.finance/,Velodrome,DEX (Decentralized Exchange),"November 29, 2022 2:20 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xfeb1832a75e2ef47dea4b08509a16e4e9176e9d2a962c9466c5d345b37428384,Yes,,",('Project','','Velodrome #2','Governance - Season 2')",Governance - Season 2,"November 24, 2022",Live ‎🔥,Live ‎🔥 - Governance - Season 2
Vesper,75000,,,,,,,"April 26, 2023 12:37 AM",,,https://gov.optimism.io/t/ready-vesper-finance/5389,,0x76d266dfd3754f090488ae12f6bd115cd7e77ebd,",('Project','0x76d266dfd3754f090488ae12f6bd115cd7e77ebd','Vesper','Governance - Season 3')",Governance - Season 3,,," - Governance - Season 3"
Via Protocol,250000,,,,,,,"March 7, 2023 7:44 AM",,,https://gov.optimism.io/t/gf-phase-1-proposal-via-protocol/4917,Yes,0x1A27cdf069F2E8cc5b77b72BeA43851086aF5D83,",('Project','0x1A27cdf069F2E8cc5b77b72BeA43851086aF5D83','Via Protocol','Governance - Season 3')",Governance - Season 3,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 3
WardenSwap,300000,,"February 17, 2023",https://twitter.com/WardenSwap/status/1626592904507707393,https://www.wardenswap.finance/#,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/ready-gf-phase-1-proposal-wardenswap/2712,Yes,,",('Project','','WardenSwap','Governance - Season 1')",Governance - Season 1,,Live ‎🔥,Live ‎🔥 - Governance - Season 1
WePiggy,300000,Liquidity Providing / Deposits,"August 3, 2022",https://twitter.com/wepiggydotcom/status/1554740310390947840,https://wepiggy.com/,,Lend/Borrow Market,"July 21, 2022 11:25 AM",,"February 6, 2023",https://gov.optimism.io/t/gf-phase-0-proposal-wepiggy/437/5,Yes,,",('Project','','WePiggy','Governance - Phase 0')",Governance - Phase 0,"August 3, 2022",Completed,Completed - Governance - Phase 0
xToken Terminal / Gamma Strategies,900000,Liquidity Providing / Deposits,"September 19, 2022",https://twitter.com/xtokenterminal/status/1571925031499743235?s=20,https://app.xtokenterminal.io/,XToken,Yield Aggregator,"August 13, 2022 2:33 AM",,"March 21, 2023",https://gov.optimism.io/t/ready-gf-phase-1-xtoken-terminal-gamma-strategies-and-uniswap-v3-staker/3001,Yes,,",('Project','','xToken Terminal / Gamma Strategies','Governance - Season 1')",Governance - Season 1,"September 19, 2022",Completed,Completed - Governance - Season 1
Yearn,1000000,,,,,,Yield Aggregator,"November 29, 2022 2:10 AM",,,https://snapshot.org/#/opcollective.eth/proposal/0xe98be83b9b3873aef54f8a19373afdc95028342cc9f2757af6099570034b093e,Yes,,",('Project','','Yearn','Governance - Season 2')",Governance - Season 2,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Season 2
Zipswap,900000,,,,https://zipswap.fi/#/,,DEX (Decentralized Exchange),"July 21, 2022 11:25 AM",,,https://gov.optimism.io/t/gf-phase-0-proposal-zipswap/1131,Yes,,",('Project','','Zipswap','Governance - Phase 0')",Governance - Phase 0,,Coming soon ‎⏳,Coming soon ‎⏳ - Governance - Phase 0
