chain_name,display_name,mainnet_chain_id,public_mainnet_launch_date,op_based_version,chain_type,has_mods,is_law_of_chains,raas_deployer,rpc_url,product_website,defillama_slug,l2beat_slug,growthepie_origin_key,goldsky_schema,dune_schema,gas_token,chain_layer,da_layer,output_root_layer,system_config_proxy,is_in_superchain_registry_repo,oplabs_db_schema,batchinbox_from,batchinbox_to,outputoracle_from,outputoracle_to_proxy,l1_standard_bridge,is_op_chain,alignment
karak,Karak,2410.0,2024-02-27,modern,,yes,,,https://rpc.karak.network,https://karak.network/,,karak,,,,ETH,L2,celestia,ethereum,0x622333688cc1878c7ff4205c89bde051798788a7,no,,0x84bdfb21ed7c8b332a42bfd595744a84f3101e4e,0xff00000000000000000000000000000000002410,0x4179f43f3b994e97090557363b09f403138a729e,0x0a23342520aa8ca963c4201801f4d3e95e731637,0xba61f25dd9f2d5f02d01b1c2c1c5f0b14c4b48a3,False,OP Stack fork
campaign,Camp Network,,,modern,standard,yes,,conduit,,https://www.campnetwork.xyz/,,camp,,,,ETH,L2,op-plasma,ethereum,,no,,,,,,,True,OP Chain
ethxy,EthXY,,,unknown,,unknown,,,,https://ethxy.com/,,,,,,unknown,L3,celestia,base,,no,,,,,,,False,OP Stack fork
cyber,Cyber,7560.0,2024-05-15,modern,non-standard,yes,,altlayer,https://cyber.alt.technology/,https://cyber.co/,CyberConnect,cyberconnect,,cyber,,ETH,L2,eigenda,ethereum,0x5d1f4bbaf6d484fa9d5d9705f92de6063bff6055,no,cyber,0xf0748c52edc23135d9845cdfb91279cf61ee14b4,0xff00000000000000000000000000000000001d88,0xf2987f0a626c8d29dfb2e0a21144ca3026d6f1e1,0xa669a743b065828682ee16109273f5cfef5e676d,0x12a580c05466eefb2c467c6b115844cdaf55b255,True,OP Chain
rise,RISE,,,unknown,,unknown,,,,https://www.riselabs.xyz/,,rise,,,,unknown,L2,unknown,ethereum,,no,,,,,,,False,OP Stack fork
superseed,SuperSeed,5330.0,,unknown,,unknown,,,https://mainnet.superseed.xyz,https://www.superseed.xyz/,,superseed,,,,ETH,L2,unknown,ethereum,,no,,,,,,,False,OP Stack fork
worldchain,World Chain,,,modern,standard,unknown,,,,https://worldcoin.org/world-chain,,world,,,,ETH,L2,ethereum,ethereum,,no,,,,,,,True,OP Chain
xterio,Xterio,,,modern,standard,no,,altlayer,,https://xter.io/,,,,,,ETH,L2,ethereum,ethereum,,no,,,,,,,True,OP Chain
axonum,Axonum,,,,,,,,,https://www.axonum.io/,,axonum,,,,,,,,,,,,,,,,False,OP Stack fork
form,Form,,,,,,,,,https://form.network/,,form,,,,,,,,,,,,,,,,False,OP Stack fork
myshell,MyShell,,,,,,,,,https://myshell.ai/,,myshell,,,,,,,,,,,,,,,,False,OP Stack fork
