share_elapsed_calc,dt,name,l2_num_txs_per_day,l1_gas_used_on_l2,l1_gas_used_user_txs_l2_per_day,l2_gas_used,l2_gas_used_user_txs_per_day,l2_gas_used_per_block,l2_gas_used_per_second,l2_num_attr_deposit_txs_per_day,l2_num_user_deposit_txs_per_day,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,avg_l1_gas_price_on_l2,collective_contribution,net_chain_operator_margin_eth,num_l1_txs_inbox,num_l1_txs_output,num_l1_txs_combined,l1_eth_fees_combined,l1_gas_used_combined,l1_eth_fees_inbox,l1_eth_fees_output,l1_gas_used_inbox,l1_gas_used_output,l2_eth_fees_per_day,l2_fee_eth_margin,l2_fee_pct_margin,l1_contrib_l2_eth_fees_per_day,l1_margin_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_base_fees_per_day,l2_contrib_l2_eth_priority_fees_per_day,total_available_l2_gas_target,avg_l2_gas_target_used,pct_l2_eth_fees_from_l2_contrib,pct_l2_eth_fees_from_l2_base_fee,pct_l2_eth_fees_from_l2_priority_fee,avg_l2_base_fee_gwei,avg_l2_gas_price_gwei,calldata_gas_l2_per_day,calldata_bytes_l2_per_day,calldata_gas_user_txs_l2_per_day,calldata_bytes_user_txs_l2_per_day,calldata_bytes_l1_inbox,bytes_compression_ratio,gas_compression_ratio,calldata_bytes_l2_per_l2_tx,l2_gas_used_per_l2_tx,l1_gas_used_on_l2_per_l2_tx,calldata_gas_l2_per_l2_tx,l1_eth_fees_total,l1_gas_used_total,active_secs_per_day,l1_margin_l2_eth_fees_combined_by_day_chart,l1_eth_fees_combined_projected,l2_num_txs_per_day_projected,l2_eth_fees_per_day_projected,l2_fee_eth_margin_by_day_projected,l2_gas_used_by_day_projected,collective_contribution_by_day_projected,net_chain_operator_margin_eth_projected,l2_gas_used_per_second_by_day,l2_gas_used_per_second_by_day_projected,l2_num_txs_per_day_30dma,l2_eth_fees_per_day_30dma,l2_gas_used_30dma,l2_fee_eth_margin_30dma,l2_fee_pct_margin_30dma,collective_contribution_30dma,num_l1_txs_combined_7day,num_l1_txs_combined_30day,l1_eth_fees_combined_7day,l1_eth_fees_combined_30day,l2_gas_used_per_block_7day,l2_gas_used_per_block_30day,l1_gas_used_combined_7day,l1_gas_used_combined_30day,dt_by_day,l1_eth_fees_combined_by_day,l2_num_txs_by_day,l2_eth_fees_by_day,l2_fee_eth_margin_by_day,l2_gas_used_by_day,l1_gas_used_combined_by_day,collective_contribution_by_day,net_chain_operator_margin_eth_by_day,l2_contrib_l2_eth_fees_combined_by_day,l2_contrib_l2_eth_base_fees_by_day,l2_contrib_l2_eth_priority_fees_by_day,l1_margin_l2_eth_fees_combined_by_day,l2_num_txs_by_day_7day,l2_num_txs_by_day_30day,l2_eth_fees_by_day_7day,l2_eth_fees_by_day_30day,l2_fee_eth_margin_by_day_7day,l2_fee_eth_margin_by_day_30day,l2_gas_used_by_day_7day,l2_gas_used_by_day_30day,collective_contribution_by_day_7day,collective_contribution_by_day_30day,non_op_l1_eth_fees_by_day,non_op_l1_gas_used_by_day,pct_l1_eth_fees_by_day,pct_l1_gas_used_by_day
,2023-09-19 00:00:00.000 UTC,Base,1.115378e+06,3.535732072e+09,3.535732072e+09,2.20526908466e+11,2.18118691922e+11,5.1047895478240745e+06,2.5523947739120373e+06,43200,1794,13.05795391034353,11.729401052217332,13.20477903307717,3.77493152390933,21.391278635486206,1667,24,1691,24.628583050550002,1.88631024e+09,24.60413527226645,0.02444777828355342,1.884225924e+09,2.084316e+06,49.79479320994554,25.166210159395536,0.5053984269658354,31.934975539950937,7.306392489400935,17.859817669994598,2.2627583816700674,15.59705928832465,2.16e+11,1.020957909564815,0.3586683771271782,0.045441666403348485,0.31322671072383207,0.010373977405289175,0.08188118823113662,1.369931928e+09,1.79910078e+08,1.281509168e+09,1.67873474e+08,1.15969659e+08,0.644597902959055,0.03279933451925879,161.29964729445982,197714.95265820198,3169.9854865346097,1228.222116627726,1802.7405651415104,1.07834628557e+11,86400,7.041523228835125,,,,,,,,5.275556613541666e+06,,731395.7333333333,65.53505122858853,2.0679142756876666e+11,39.36348745903195,1.5040556156915834,5.904523118854791,880.8571428571429,736.5666666666667,34.7919615657574,26.171563769556577,3.570078385405091e+07,1.4360515803386572e+08,1.5817859572e+10,4.3988206272e+10,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.4957514221359,50.18680618215269,4.5580809141e+11,3.144121208e+09,28.291108635373597,46.25012879800208,43.145282953317555,18.63482517259596,24.51045778072182,7.041523228835125,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457229,110.58183212476246,73.72699450589627,57.77457376272485,4.15192325106e+11,3.634038771216667e+11,36.99373098962393,22.258288117104033,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-19 00:00:00.000 UTC,OP Mainnet,307084,1.613478876e+09,1.613478876e+09,2.21022281924e+11,2.18760297432e+11,5.116256526018519e+06,2.5581282630092595e+06,43200,569,12.477870827158213,11.372823450988266,12.321089208273303,24.354431251223,24.354431251223,561,24,585,13.071993767788928,1.047798744e+09,13.048285661583941,0.023708106204986763,1.045714116e+09,2.084628e+06,37.42642501901193,24.354431251223,0.6507282284869955,13.597794942132467,0.5258011743435382,23.828630076879463,16.37206607773824,7.456563999141226,2.16e+11,1.0232513052037038,0.6366792998469654,0.4374466989412302,0.19923260090573516,0.07484020761503754,0.10892575278330123,1.095137244e+09,1.40197662e+08,1.010374532e+09,1.28722874e+08,6.4802808e+07,0.46222459829608287,0.040163406514905,456.5449909471024,719745.3528155163,5254.193888317203,3566.2465123549255,1802.7405651415104,1.07834628557e+11,86400,7.041523228835125,,,,,,,,5.275556613541666e+06,,342734.6666666667,38.71420263207349,1.4098651180593332e+11,15.9017493841671,0.697064415271796,15.9017493841671,678,672.0666666666667,15.207402222753382,22.812453247906465,2.90759445305787e+07,9.790729986523147e+07,7.260382416e+09,3.6831295472e+10,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.4957514221359,50.18680618215269,4.5580809141e+11,3.144121208e+09,28.291108635373597,46.25012879800208,43.145282953317555,18.63482517259596,24.51045778072182,7.041523228835125,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457229,110.58183212476246,73.72699450589627,57.77457376272485,4.15192325106e+11,3.634038771216667e+11,36.99373098962393,22.258288117104033,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-19 00:00:00.000 UTC,Zora Network,56156,2.19542528e+08,2.19542528e+08,1.2063546566e+10,9.814224699e+09,279248.76310185186,139624.38155092593,43200,6,12.395542392314129,12.031223268891335,12.069307540773085,0.16166612598775565,0.9161080472639487,148,24,172,2.1648653185229385,1.74709956e+08,2.1397887361133745,0.02507658240956406,1.72625664e+08,2.084292e+06,3.242639491774643,1.0777741732517043,0.3323755773608544,1.8124127814781532,0,1.4302267102964896,6.03419930893e-07,1.4302261068766267,2.16e+11,0.05584975262037037,0.4410686768986923,1.8608912042909782e-07,0.44106849080959276,5.002098352394912e-08,0.14572997400826693,1.90428648e+08,2.461581e+07,1.07252572e+08,1.3378882e+07,1.0626024e+07,0.43167476512046526,0.04840075449982976,438.3469264192606,214822.04156278938,3909.5115036683524,3391.065033122017,1802.7405651415104,1.07834628557e+11,86400,7.041523228835125,,,,,,,,5.275556613541666e+06,,77728.46666666666,6.168247490133369,1.33444053553e+10,3.007577675837615,0.9515633876826666,0.45113665137564174,675.8571428571429,703.0333333333333,2.5710707472001197,3.160669814295757,2.145220296296296e+06,9.267086158686548e+06,1.334758576e+09,5.675558e+09,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.4957514221359,50.18680618215269,4.5580809141e+11,3.144121208e+09,28.291108635373597,46.25012879800208,43.145282953317555,18.63482517259596,24.51045778072182,7.041523228835125,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457229,110.58183212476246,73.72699450589627,57.77457376272485,4.15192325106e+11,3.634038771216667e+11,36.99373098962393,22.258288117104033,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-19 00:00:00.000 UTC,Public Goods Network,110,611204,611204,2.195354454e+09,1.8486888e+07,50818.39013888889,25409.195069444446,43200,23,12.600200414455525,11.97048128827072,12.642110114059852,7.973425350947216e-05,-0.4116891359710686,145,24,169,0.443503103121348,3.5302268e+07,0.4185525501529538,0.02495055296839419,3.3217928e+07,2.08434e+06,0.03189370140378886,-0.4116094017175591,-12.905664240923173,0.005285205256785169,0,0.02660849614700369,1.097677227e-07,0.02660838637931484,2.16e+11,0.010163678027777779,0.8342868646736216,3.4416739941937244e-06,0.8342834230006887,5.0000000000000024e-08,1.4393172148283524,8.3581116e+07,1.1285379e+07,391104,43527,1.889105e+06,0.16739402371865403,3.0907929267478615,102594.35454545454,1.995776776363636e+07,5556.4,759828.3272727273,1802.7405651415104,1.07834628557e+11,86400,7.041523228835125,,,,,,,,5.275556613541666e+06,,527.1,0.16433077396700285,2.2815323916666665e+09,-0.49824075631186077,-0.7519803274706974,0.0008789627064625188,873.8571428571429,703.3333333333334,0.5085034129651936,0.6625715302788634,354585.4797685187,1.5843974942129636e+06,2.459854e+08,1.108656884e+09,2023-09-19 00:00:00.000 UTC,40.30894523998322,1.478728e+06,90.4957514221359,50.18680618215269,4.5580809141e+11,3.144121208e+09,28.291108635373597,46.25012879800208,43.145282953317555,18.63482517259596,24.51045778072182,7.041523228835125,1.8189535714285714e+06,1.1523859666666666e+06,126.80593245457229,110.58183212476246,73.72699450589627,57.77457376272485,4.15192325106e+11,3.634038771216667e+11,36.99373098962393,22.258288117104033,1762.4316199015273,1.04690507349e+11,0.02235981483936879,0.02915687891796333
,2023-09-18 00:00:00.000 UTC,Base,1.305126e+06,4.034988032e+09,4.034988032e+09,2.20609018037e+11,2.18193812029e+11,5.106690232337963e+06,2.5533451161689814e+06,43200,1978,19.49156321403047,14.246335518657025,20.030595743050082,7.972965857273728,45.18013985788446,1765,24,1789,40.21067081698423,2.06353914e+09,40.1809767809653,0.029694036018931357,2.061454812e+09,2.084328e+06,93.36377653214242,53.15310571515819,0.5693118647236718,55.28307844237276,15.072407625388529,38.08069808976966,20.372314222884025,17.70838386688606,2.16e+11,1.0213380464675925,0.4078744402188957,0.2182036222139154,0.18967081800498484,0.09336797424931685,0.1745269388515394,1.477365928e+09,1.94285446e+08,1.388386896e+09,1.82163366e+08,1.26965466e+08,0.6534996244649226,0.0314661319917392,148.86336338407173,169032.73556499527,3091.6463483219245,1131.9718770448217,2202.6054482757977,1.07520100755e+11,86400,13.982807837592729,,,,,,,,5.261041673055556e+06,,722302.3,66.47077194033467,2.0348256217726666e+11,40.264359916728424,1.5364316137767757,6.039653987509263,708.8571428571429,729.5333333333333,34.47448143054591,26.206412023606234,3.5711741537268505e+07,1.4130733484532404e+08,1.5347880856e+10,4.3770102452e+10,2023-09-18 00:00:00.000 UTC,59.25296495912262,1.634558e+06,153.0482078045179,93.79524284539528,4.54554000552e+11,3.272085728e+09,48.17731707442212,85.65130048781428,79.81243500780255,48.590134155052965,31.222300852749786,13.982807837592729,1.7877017142857143e+06,1.1455336666666667e+06,126.74569976090761,111.25978881383926,71.90355297754937,58.24300091658156,4.102147820507143e+11,3.5710341210943335e+11,35.28030338222884,21.898688701388664,2143.3524833166753,1.04248015027e+11,0.02690130681620983,0.030432316422916283
,2023-09-18 00:00:00.000 UTC,OP Mainnet,277050,1.515646156e+09,1.515646156e+09,2.2112992029e+11,2.18875988214e+11,5.118748154861111e+06,2.5593740774305556e+06,43200,502,15.981226631579966,15.227230245719145,15.548883389140654,40.03337471684113,40.03337471684113,546,24,570,16.24330106095441,1.016497244e+09,16.211558681328786,0.03174237962562122,1.014412664e+09,2.08458e+06,56.27667577779554,40.03337471684113,0.7113670834949468,16.119558051768664,0,40.157117726026875,28.21781929119381,11.93929843483309,2.16e+11,1.0237496309722223,0.713565916447951,0.5014123329282963,0.21215358351965496,0.12892149349706017,0.18346972664157374,1.056303964e+09,1.31183212e+08,9.71729924e+08,1.19737172e+08,6.286427e+07,0.47920971778004645,0.04147687753578811,473.50013354990074,798158.8893340552,5470.659288937015,3812.6835011730736,2202.6054482757977,1.07520100755e+11,86400,13.982807837592729,,,,,,,,5.261041673055556e+06,,344478.3,38.36897164814187,1.379458736394e+11,15.396775258340623,0.670235226840396,15.396775258340623,478.42857142857144,677.4666666666667,17.142253120671594,22.972196389801333,2.8196731575023144e+07,9.579574558291666e+07,7.966147476e+09,3.699329156e+10,2023-09-18 00:00:00.000 UTC,59.25296495912262,1.634558e+06,153.0482078045179,93.79524284539528,4.54554000552e+11,3.272085728e+09,48.17731707442212,85.65130048781428,79.81243500780255,48.590134155052965,31.222300852749786,13.982807837592729,1.7877017142857143e+06,1.1455336666666667e+06,126.74569976090761,111.25978881383926,71.90355297754937,58.24300091658156,4.102147820507143e+11,3.5710341210943335e+11,35.28030338222884,21.898688701388664,2143.3524833166753,1.04248015027e+11,0.02690130681620983,0.030432316422916283
,2023-09-18 00:00:00.000 UTC,Zora Network,52295,1.9450702e+08,1.9450702e+08,1.0623914734e+10,8.40077136e+09,245923.95217592592,122961.97608796296,43200,4,14.26562921654052,16.688629632494226,13.736038481730592,0.17090859363711755,0.9684820306103328,147,24,171,2.2412022022724876,1.56751012e+08,2.206417223720739,0.03478497855174861,1.5466666e+08,2.084352e+06,3.380592826519938,1.1393906242474503,0.3370387037768065,1.827481043593705,0,1.5531117829262329,5.31417752612e-07,1.5531112515082155,2.16e+11,0.049184790435185186,0.45941994869729486,1.5719661606187987e-07,0.45941979150060047,5.002296153088281e-08,0.18487728285540628,1.73326808e+08,2.2572491e+07,9.0174608e+07,1.1337899e+07,9.501709e+06,0.4209419775602081,0.048850211164615034,431.6376517831533,203153.54687828664,3719.4190649201646,3314.404971794627,2202.6054482757977,1.07520100755e+11,86400,13.982807837592729,,,,,,,,5.261041673055556e+06,,78190.26666666666,6.245865007763423,1.33851590482e+10,3.0757057948213213,0.9702054654746743,0.4613558692231977,709.4285714285714,729.5666666666667,2.7030832623176524,3.170159212942104,2.207057164236111e+06,9.295387334311549e+06,1.371341544e+09,5.66437874e+09,2023-09-18 00:00:00.000 UTC,59.25296495912262,1.634558e+06,153.0482078045179,93.79524284539528,4.54554000552e+11,3.272085728e+09,48.17731707442212,85.65130048781428,79.81243500780255,48.590134155052965,31.222300852749786,13.982807837592729,1.7877017142857143e+06,1.1455336666666667e+06,126.74569976090761,111.25978881383926,71.90355297754937,58.24300091658156,4.102147820507143e+11,3.5710341210943335e+11,35.28030338222884,21.898688701388664,2143.3524833166753,1.04248015027e+11,0.02690130681620983,0.030432316422916283
,2023-09-18 00:00:00.000 UTC,Public Goods Network,87,571280,571280,2.191147491e+09,1.6082385e+07,50721.006736111114,25360.503368055557,43200,13,15.822591200229729,15.47706293972606,14.472627233049314,6.790667014998375e-05,-0.5306961175216457,145,24,169,0.5577908789114892,3.5298332e+07,0.5255314175437006,0.032259461367788615,3.3213992e+07,2.08434e+06,0.0271626680599935,-0.5306282108514957,-19.53520212666556,0.005655258980216305,0,0.021507409079777197,1.0955737455e-07,0.021507299522421194,2.16e+11,0.010144201347222223,0.7918003132930213,4.033380458356425e-06,0.7917962799132457,5.000000000000002e-08,1.3373270867335396,8.3564024e+07,1.127735e+07,399184,39826,1.88885e+06,0.16749058954452953,3.3063471502590676,129624.71264367815,2.5185603344827585e+07,6566.436781609195,960506.0229885058,2202.6054482757977,1.07520100755e+11,86400,13.982807837592729,,,,,,,,5.261041673055556e+06,,562.8,0.17418021759922392,2.2898172445666666e+09,-0.4938400533088595,-0.7392590836166555,0.0009035863155430714,478.57142857142856,676.1666666666666,0.5223289698231468,0.6680202709080832,354457.55576388905,1.590150864282408e+06,2.45766216e+08,1.113683648e+09,2023-09-18 00:00:00.000 UTC,59.25296495912262,1.634558e+06,153.0482078045179,93.79524284539528,4.54554000552e+11,3.272085728e+09,48.17731707442212,85.65130048781428,79.81243500780255,48.590134155052965,31.222300852749786,13.982807837592729,1.7877017142857143e+06,1.1455336666666667e+06,126.74569976090761,111.25978881383926,71.90355297754937,58.24300091658156,4.102147820507143e+11,3.5710341210943335e+11,35.28030338222884,21.898688701388664,2143.3524833166753,1.04248015027e+11,0.02690130681620983,0.030432316422916283
,2023-09-17 00:00:00.000 UTC,Base,1.11242e+06,3.60936982e+09,3.60936982e+09,2.20285884113e+11,2.17853272434e+11,5.0992102803935185e+06,2.5496051401967593e+06,43200,1923,9.16142655296567,8.77591898349725,9.087644353484642,3.3415365854172836,18.935373984031273,1534,24,1558,17.102297049078363,1.866859976e+09,17.08400557665944,0.018291472418923652,1.864775696e+09,2.08428e+06,39.37920761852692,22.276910569448557,0.5657023570725135,22.435657776822566,5.3333607277442034,16.943549841704353,1.8665551619775766,15.076994679726567,2.16e+11,1.0198420560787036,0.4302663985989612,0.04739951042334863,0.38286688817560727,0.008567946403206118,0.07777505314655093,1.4408709e+09,1.94144328e+08,1.352061688e+09,1.82047165e+08,1.14930716e+08,0.5919859579930659,0.03184232199292895,174.52430556804086,198024.0234021323,3244.6106866111722,1295.257996080617,1283.619572452245,1.06744326789e+11,86400,5.180692323883421,,,,,,,,5.323303788530093e+06,,700465.3,65.29463016388564,1.9975088686426666e+11,39.757172935855884,1.5568179940882547,5.963575940378382,660.5714285714286,664.1,32.23023220480523,25.537457228029755,3.5719815282708324e+07,1.387158936557407e+08,1.4499404476e+10,4.3082561636e+10,2023-09-17 00:00:00.000 UTC,27.65961230926306,1.465879e+06,96.91002722789858,69.25041491863551,4.59933447329e+11,3.018509868e+09,49.05486770669574,65.63210524827346,64.0697225947521,38.32088392846289,25.748838666288258,5.180692323883421,1.6966172857142857e+06,1.1276409666666666e+06,121.40442805067914,109.25164234526731,64.49968091211848,56.819460483849056,4.067353152211429e+11,3.504123630891e+11,31.62747032662395,20.862028575265914,1255.9599601429818,1.03725816921e+11,0.021548138485004358,0.028277941871015268
,2023-09-17 00:00:00.000 UTC,OP Mainnet,257140,1.332876956e+09,1.332876956e+09,2.21597832e+11,2.19349954915e+11,5.129579444444444e+06,2.564789722222222e+06,43200,503,9.179984587130113,8.717409944870733,9.1145670947583,45.43655803633369,45.43655803633369,467,24,491,8.007350249976815,8.7236688e+08,7.989178320771775,0.018171929205039957,8.70282324e+08,2.084556e+06,53.44390828631051,45.43655803633369,0.8501728165709791,8.309639968051004,0.3022897180741886,45.13426831825951,36.45432785583893,8.679940462420541,2.16e+11,1.0259158888888888,0.8445166112565258,0.6821044535243429,0.16241215773218218,0.16619254774848385,0.20576374558977878,9.11920256e+08,1.17005933e+08,8.27377636e+08,1.05560593e+08,5.3929488e+07,0.46091242227862067,0.0404609651005175,455.02812864587384,861778.921988022,5183.4679785330945,3546.3959555106167,1283.619572452245,1.06744326789e+11,86400,5.180692323883421,,,,,,,,5.323303788530093e+06,,347972.1,37.48544277064343,1.3493399804966667e+11,14.429783197128165,0.6258672908973745,14.429783197128165,506.85714285714283,672.6333333333333,21.21058046792482,23.055659573515346,2.7552506597152773e+07,9.370416531226851e+07,9.052158216e+09,3.7266316492e+10,2023-09-17 00:00:00.000 UTC,27.65961230926306,1.465879e+06,96.91002722789858,69.25041491863551,4.59933447329e+11,3.018509868e+09,49.05486770669574,65.63210524827346,64.0697225947521,38.32088392846289,25.748838666288258,5.180692323883421,1.6966172857142857e+06,1.1276409666666666e+06,121.40442805067914,109.25164234526731,64.49968091211848,56.819460483849056,4.067353152211429e+11,3.504123630891e+11,31.62747032662395,20.862028575265914,1255.9599601429818,1.03725816921e+11,0.021548138485004358,0.028277941871015268
