dt,active_secs_per_day,share_elapsed,name,alignment,avg_l2_base_fee_gwei,avg_l2_gas_price_gwei,num_l1_txs_inbox,l1_eth_fees_inbox,secs_between_l1_txs_inbox,num_l1_txs_output,l1_eth_fees_output,l1_gas_used_inbox,l1_gas_used_output,num_l1_txs_combined,l1_eth_fees_combined,l1_gas_used_combined,l1_eth_fees_total,l1_gas_used_total,l2_num_txs_per_day,l2_num_users_per_day,l2_eth_fees_per_day,l1_contrib_l2_eth_fees_per_day,l2_contrib_l2_eth_fees_per_day,l1_margin_l2_eth_fees_per_day,avg_l1_gas_price_on_l2,l1_gas_used_on_l2,l2_gas_used,l2_eth_fees_saved_per_day,l2_fee_eth_margin,l2_fee_pct_margin,l2_contrib_l2_eth_base_fees_per_day,l2_contrib_l2_eth_priority_fees_per_day,l1_gas_compression_ratio,calldata_bytes_l2_per_day,calldata_bytes_l1_inbox,avg_l1_gas_price_on_l1_inbox,avg_l1_gas_price_on_l1_output,collective_contribution,num_l1_txs_combined_7day,num_l1_txs_combined_30day,l1_eth_fees_combined_7day,l1_eth_fees_combined_30day,l1_eth_fees_combined_by_day,l2_eth_fees_by_day,l2_gas_used_by_day,l2_num_txs_by_day,pct_of_total_l1_eth_fees_combined_by_day,non_op_l1_eth_fees_by_day,non_op_l1_gas_used_by_day,pct_l1_eth_fees_by_day,pct_l1_gas_used_by_day,l2_num_txs_per_day_30dma,l2_eth_fees_per_day_30dma,l2_gas_used_30dma,l2_fee_eth_margin_30dma,l2_fee_pct_margin_30dma,collective_contribution_30dma,l2_contrib_l2_eth_fees_combined_by_day,l2_contrib_l2_eth_base_fees_by_day,l2_contrib_l2_eth_priority_fees_by_day,l1_margin_l2_eth_fees_combined_by_day,l2_fee_eth_margin_by_day,collective_contribution_by_day,l1_eth_fees_combined_projected,l2_num_txs_per_day_projected,l2_eth_fees_per_day_projected,l2_fee_eth_margin_by_day_projected,l2_gas_used_by_day_projected,collective_contribution_by_day_projected
2023-08-18 00:00:00.000 UTC,,,Public Goods Network,OP Chain,,,146,0.8992506075212107,591.7808219178082,24,0.050287426139332375,3.5848568e+07,2.084268e+06,170,0.949538033660543,3.7932836e+07,3269.385215557178,1.07645212667e+11,,,,,,,,,,,,,,,,,2.052512e+06,25.084700943178838,24.127140146724113,,169.71428571428572,169.7,0.8866951543048657,0.8433767145265084,70.28237380215535,98.04595041180751,2.4062238709e+11,866339,0.00020784536498295408,3199.102841755023,1.04864251587e+11,0.021497122293121285,0.02583450774167627,,,,,,,29.92826154336163,0.016703367307837523,29.911558176053788,2.7399742943495475,32.66823583771117,17.87899313447575,,,,,,
2023-08-17 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.12734332809752505,0.30244635417398474,1022,76.96876527848639,84.54011741682974,24,0.10158854995549789,1.866615968e+09,2.084592e+06,1046,77.07035382844188,1.86870056e+09,4814.385487144033,1.07721784436e+11,560502,121246,132.47116880541336,73.75055177901285,58.72061702640051,-3.319802049429029,37.39536226881943,2.883310592e+09,1.96391059301e+11,7.676342768775026e+12,55.400814976971475,0.41821035834861264,29.72119716207395,28.999419864326526,1.5446726275942797,2.34250696e+08,1.15662281e+08,41.23438703942684,48.73306141225616,55.400814976971475,1207.857142857143,1183.8,54.51162693419167,52.15469738416779,121.15148285732417,185.70600881159345,2.72440350423e+11,933275,0.016870009681533786,4693.234004286708,1.04602617536e+11,0.0251644749222591,0.028955767083984476,620757.3333333334,74.81352750418586,1.6891846694353333e+11,22.658830120018077,0.4344542535280139,22.658830120018077,76.44751071914219,29.72120130029123,46.72630941885094,-2.960349508226166,73.48716121091601,58.113766912063156,,,,,,
2023-08-17 00:00:00.000 UTC,86400,,Base,OP Chain,5.573738977876589e-08,0.24068791768718592,1438,35.06322874559028,60.083449235048676,24,0.08526502664528841,9.67558936e+08,2.084352e+06,1462,35.14849377223557,9.69643288e+08,4814.385487144033,1.07721784436e+11,372773,73377,53.23484000618011,35.50794631343843,17.72689369274168,0.3594525412028631,34.92613381072109,1.486342648e+09,7.6049291122e+10,2.764191300826785e+12,18.08634623394454,0.3397464185455403,4.138217282728009e-06,17.726889554524412,1.5361778933536716,1.04756811e+08,5.8762852e+07,36.23885578541158,40.907210799945695,2.712951935091681,1469,1043.8666666666666,27.856848201004546,15.94903345801234,121.15148285732417,185.70600881159345,2.72440350423e+11,933275,0.007693690255384828,4693.234004286708,1.04602617536e+11,0.0251644749222591,0.028955767083984476,273185.7,56.43012109675764,6.038211278446667e+10,40.48108763874532,2.538153032615828,6.072163145811798,76.44751071914219,29.72120130029123,46.72630941885094,-2.960349508226166,73.48716121091601,58.113766912063156,,,,,,
2023-08-17 00:00:00.000 UTC,,,Zora Network,OP Chain,,,200,7.438027506561184,432,24,0.06851192493462163,2.40845544e+08,2.08428e+06,224,7.506539431495805,2.42929824e+08,4814.385487144033,1.07721784436e+11,,,,,,,,,,,,,,,,,1.4840112e+07,30.88297745945087,32.8707874827862,,188.71428571428572,174.36666666666667,4.1668416200108025,2.3858813149986604,121.15148285732417,185.70600881159345,2.72440350423e+11,933275,0.001643114201422235,4693.234004286708,1.04602617536e+11,0.0251644749222591,0.028955767083984476,,,,,,,76.44751071914219,29.72120130029123,46.72630941885094,-2.960349508226166,73.48716121091601,58.113766912063156,,,,,,
2023-08-17 00:00:00.000 UTC,,,Public Goods Network,OP Chain,,,145,1.349022839016548,595.8620689655172,24,0.0770729861343636,3.5808936e+07,2.084292e+06,169,1.4260958251509115,3.7893228e+07,4814.385487144033,1.07721784436e+11,,,,,,,,,,,,,,,,,2.051394e+06,37.67279873986056,36.97801753994335,,169.71428571428572,169.66666666666666,0.8456413283711056,0.840875357873303,121.15148285732417,185.70600881159345,2.72440350423e+11,933275,0.0003121595942149728,4693.234004286708,1.04602617536e+11,0.0251644749222591,0.028955767083984476,,,,,,,76.44751071914219,29.72120130029123,46.72630941885094,-2.960349508226166,73.48716121091601,58.113766912063156,,,,,,
2023-08-16 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.011931763024628521,0.08087383386000174,1336,67.47923001142364,64.67065868263474,24,0.059293798635829266,2.486739856e+09,2.084592e+06,1360,67.53852381005947,2.488824448e+09,3907.857732702165,1.0786897922e+11,611121,125681,86.30537889412149,71.6729659912116,14.632412902909888,4.134442181152124,26.951796017148737,3.887868472e+09,1.83155051486e+11,5.214946909549194e+12,18.766855084062016,0.21744710844830414,2.1346880297967292,12.497724873113166,1.5634399644254546,3.37053611e+08,1.54133869e+08,27.135620900839278,28.443838715599632,18.766855084062016,1196.2857142857142,1177.8,48.88930833266848,51.052176363022866,107.7554000930809,145.286002632942,2.69622167413e+11,1.034365e+06,0.014783577523057001,3800.102332609084,1.03989568316e+11,0.027574033514923102,0.035964101376058245,619080.9,72.28997121342194,1.6738054987633334e+11,21.23779485039908,0.4160017527828967,21.23779485039908,39.101429352986905,2.1346947313929783,36.966734621593886,5.465110515165144,44.566539868152056,22.636807801675523,,,,,,
2023-08-16 00:00:00.000 UTC,86400,,Base,OP Chain,6.731488928372321e-08,0.2910160660630643,1449,33.12147883632758,59.62732919254658,24,0.05946011840288999,1.140928948e+09,2.084316e+06,1473,33.18093895473047,1.143013264e+09,3907.857732702165,1.0786897922e+11,423244,75475,58.98062373882051,34.51160728874349,24.469016450077017,1.3306683340130192,28.57075588231968,1.765986396e+09,8.6467115927e+10,2.5376046659677295e+12,25.79968478409004,0.43742644869842096,6.701596248905997e-06,24.46900974848072,1.5478495826542917,1.27524367e+08,6.9615517e+07,29.030273002002552,28.52740102886989,3.869952717613506,1478.857142857143,1000.7,27.73368162563031,14.853313573682696,107.7554000930809,145.286002632942,2.69622167413e+11,1.034365e+06,0.007263010140769731,3800.102332609084,1.03989568316e+11,0.027574033514923102,0.035964101376058245,261214.5,54.751107582081,5.79758379427e+10,39.89779400839833,2.686120764264331,5.984669101259748,39.101429352986905,2.1346947313929783,36.966734621593886,5.465110515165144,44.566539868152056,22.636807801675523,,,,,,
2023-08-16 00:00:00.000 UTC,,,Zora Network,OP Chain,,,178,5.836322407406187,485.39325842696627,24,0.06332730446925663,2.06935728e+08,2.084352e+06,202,5.899649711875444,2.0902008e+08,3907.857732702165,1.0786897922e+11,,,,,,,,,,,,,,,,,1.2741321e+07,28.20355123696275,30.382250440068013,,181,173.13333333333333,3.413268669341781,2.239778491509117,107.7554000930809,145.286002632942,2.69622167413e+11,1.034365e+06,0.001291380444139955,3800.102332609084,1.03989568316e+11,0.027574033514923102,0.035964101376058245,,,,,,,39.101429352986905,2.1346947313929783,36.966734621593886,5.465110515165144,44.566539868152056,22.636807801675523,,,,,,
2023-08-16 00:00:00.000 UTC,,,Public Goods Network,OP Chain,,,146,1.0732621085049643,591.7808219178082,24,0.0630255079105368,3.6468784e+07,2.084328e+06,170,1.1362876164155011,3.8553112e+07,3907.857732702165,1.0786897922e+11,,,,,,,,,,,,,,,,,2.091523e+06,29.429610499351014,30.237807058455672,,169.71428571428572,169.7,0.752677782176401,0.8278341164151519,107.7554000930809,145.286002632942,2.69622167413e+11,1.034365e+06,0.000248723174835903,3800.102332609084,1.03989568316e+11,0.027574033514923102,0.035964101376058245,,,,,,,39.101429352986905,2.1346947313929783,36.966734621593886,5.465110515165144,44.566539868152056,22.636807801675523,,,,,,
2023-08-15 00:00:00.000 UTC,86400,,OP Mainnet,OP Chain,0.14277752121905177,0.2276845834718576,2213,112.95643234671046,39.04202440126525,24,0.05130766240638972,4.20433884e+09,2.084652e+06,2237,113.00774000911684,4.206423492e+09,3335.862627387614,1.07829890177e+11,894051,146951,168.08747874210215,119.99361311320303,48.09386562889913,6.985873104086181,27.059052955107088,6.483200252e+09,2.13474273074e+11,5.3687906114802705e+12,55.079738732985305,0.32768495991003915,31.854464571197383,16.239401057701492,1.5420261065352192,5.47778795e+08,2.60678325e+08,26.86663388593827,24.612099480579833,55.079738732985305,1155.7142857142858,1162.9666666666667,45.26699513801009,49.92650724416693,153.57174638840124,241.39712637759845,3.15154502832e+11,1.425245e+06,0.02473638141438641,3182.2908809992127,1.02068245901e+11,0.046036591893074026,0.05343271950423402,616249.1,71.07120607739141,1.6704004012323334e+11,21.144698833224478,0.42351648453627566,21.144698833224478,84.15762508669252,31.85811737949034,52.29950770720202,10.194853345844649,94.35247843253717,60.97064968791808,,,,,,
