chain_id,chain_name,from_name,is_op_transfer,tfer_from,tfer_to,to_name,trace_address,transfer_chain,tx_block_number,tx_block_time,tx_from,tx_hash,tx_method_id,tx_to,value,value_decimal,last_updated
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,17317591,2024-07-19 21:28:49.000 UTC,0x9e94612be8b16f342f2d2862179fa8eac6f57b27,0x5778df285333d8f33cc79a9cbe4843ddd747c5c956fa5a10de322711211978d8,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,22472829680801313000,22.47282968080131,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,18384498,2024-08-13 14:12:23.000 UTC,0x98faafab43c690fcd8a76e5605010aab891cedca,0x6b61c92f4c385fa8cdf317fc11b953534f2fa46d65df52f8843766d96bf91468,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,10145675253642785000,10.145675253642784,2024-08-23 23:02:00.886716
7777777.0,Zora,Zora Disburser,True,0xe900b3edc1ba0430cfa9a204a1027b90825ac951,0xa3d596eafab6b13ab18d40fae1a962700c84adea,OP Receiver,"0,0,1",ethereum,20014153,2024-06-03 22:03:59.000 UTC,0xefcf0c8fafb425997870f845e26fc6ca6ee6dd5c,0x73914986586982364e4415e521fec47b4b48c5a4d3fa0d8123ae12fb125ed9c1,0x6a761202,0xe900b3edc1ba0430cfa9a204a1027b90825ac951,9295676233249464000,9.295676233249464,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,17062929,2024-07-14 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x1cdf8b8a99a4aa8d7a1a80f8b05d42204bc0aa71b1f2dfc2ca3d8f19462ceebd,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,22256613433555720000,22.256613433555717,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,15853329,2024-06-16 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x71649595d760ecc9eb1d087ba0d89a72ac700d8f92583bf759099a36265088af,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,45537794018356950000,45.537794018356955,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,14946129,2024-05-26 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x209d25b16a466245265a8c44bf4523dc961fa4ab36e24d3155c4a53dd0cecff3,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,68514439731118080000,68.51443973111807,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,17365330,2024-07-21 00:00:07.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x1fea925e7f6b875b3327eca7fe3b5b71f04499b0139edf7ac04f87dfee018e7a,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,8285303209908746000,8.285303209908745,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,16760529,2024-07-07 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x9493f66f792541472b1e51fe88f4fdf0e61ecf98a8fc8234be66185d2f464ad6,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,22622176587850306000,22.622176587850305,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,17970279,2024-08-04 00:05:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0x14a13407c63f6e225352a0157ec9ba2d2f08a2b05a7499c8982550bbe5fc3470,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,30904189510028860000,30.90418951002886,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,11",base,15700158,2024-06-12 10:54:23.000 UTC,0x4afc2398e1b0b4596706e5e96218571eb9203d12,0x078614869b2f8d6eae03fd134c59c67fa216b6faba5a163ff0ed48028d7cf7f7,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,19911069814049382000,19.911069814049384,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,15248533,2024-06-02 00:00:13.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0xe08e4c0178f6d76ce8ed7b7def3947e1f90249aff7c50063475e71a27ba87e28,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,59038884586654280000,59.03888458665428,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,12",base,18272529,2024-08-11 00:00:05.000 UTC,0xd46bd800702d639b3ad20c1230d9c1c751d41ea7,0xc99f092286eb84e565edb1721270523a836d482f8288b0d1485f8155a6dc69f4,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,54688684490141204000,54.688684490141206,2024-08-23 23:02:00.886716
,Conduit Chains,Conduit Disburser 2,True,0x4a4962275df8c60a80d3a25faec5aa7de116a746,0xa3d596eafab6b13ab18d40fae1a962700c84adea,OP Receiver,"0,0,0",ethereum,20420568,2024-07-30 16:29:59.000 UTC,0xefcf0c8fafb425997870f845e26fc6ca6ee6dd5c,0xad5979a2c1d9f10e504a6d5f0aa9a1d788e675168e39f6df8652c52d26b48a67,0x6a761202,0x4a4962275df8c60a80d3a25faec5aa7de116a746,694500000000000000,0.6945,2024-08-23 23:02:00.886716
8453.0,Base,Base Fee Disburser Proxy,True,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,0x9c3631dde5c8316be5b7554b0ccd2631c15a9a05,OP Receiver,"0,10",base,17145228,2024-07-15 21:43:23.000 UTC,0x65bcb5e473c35b999bcd05fc5193a4d348ce1ee0,0xf32b746da670df3e446d6bafcf822fccf5870fa2d06e2fe573509ff37c412018,B87EA8D4,0x09c7bad99688a55a2e83644bfaed09e62bdcccba,6292436939311308000,6.292436939311308,2024-08-23 23:02:00.886716
